idx,start_wall_s,model_start_wall_s,end_wall_s,ros_stamp_s,reason_tokens,generated_token_slots,traj_start_token_rows,traj_start_token_all_rows,cfg_nav,prompt_kv_seq_len,prompt_kv_tensors,prompt_kv_bytes,prompt_kv_mib,unguided_prompt_kv_seq_len,unguided_prompt_kv_tensors,unguided_prompt_kv_bytes,unguided_prompt_kv_mib,total_kv_bytes,total_kv_mib,model_parameter_bytes,model_parameter_mib,cuda_memory_allocated_start_bytes,cuda_memory_reserved_start_bytes,cuda_memory_allocated_end_bytes,cuda_memory_reserved_end_bytes,cuda_memory_peak_allocated_bytes,cuda_memory_peak_reserved_bytes,cuda_memory_peak_allocated_delta_bytes,cuda_memory_peak_reserved_delta_bytes
0,1788404821.971858,1788404822.137069,1788404824.497626,1552440196.862068,7,10,1,1,0,837,72,123420672,117.703125,,,0,,123420672,117.703125,22157053040,21130.612411,22183835136,22487760896,22202598912,22728933376,22465395712,22728933376,281560576,241172480
1,1788404824.971460,1788404825.001054,1788404826.891742,1552440197.161835,11,14,1,1,0,841,72,124010496,118.265625,,,0,,124010496,118.265625,22157053040,21130.612411,22185418752,22728933376,22203132416,22728933376,22466413568,22728933376,280994816,0
2,1788404826.971530,1788404827.001205,1788404828.730757,1552440197.361693,9,12,1,1,0,839,72,123715584,117.984375,,,0,,123715584,117.984375,22157053040,21130.612411,22185418752,22728933376,22203132416,22728933376,22466413568,22728933376,280994816,0
3,1788404828.971446,1788404829.001540,1788404831.021223,1552440197.561553,13,16,1,1,0,843,72,124305408,118.546875,,,0,,124305408,118.546875,22157053040,21130.612411,22185418752,22728933376,22203132416,22728933376,22466413568,22728933376,280994816,0
4,1788404831.972008,1788404832.001774,1788404833.812333,1552440197.861510,10,13,1,1,0,840,72,123863040,118.125000,,,0,,123863040,118.125000,22157053040,21130.612411,22185418752,22728933376,22203132416,22728933376,22466413568,22728933376,280994816,0
5,1788404833.971764,1788404833.986438,1788404835.640842,1552440198.061558,8,11,1,1,0,838,72,123568128,117.843750,,,0,,123568128,117.843750,22157053040,21130.612411,22185418752,22728933376,22203132416,22728933376,22466413568,22728933376,280994816,0
6,1788404835.971368,1788404836.001091,1788404837.644805,1552440198.261568,7,10,1,1,0,837,72,123420672,117.703125,,,0,,123420672,117.703125,22157053040,21130.612411,22185418752,22728933376,22203132416,22728933376,22466413568,22728933376,280994816,0
7,1788404837.971606,1788404838.001475,1788404839.563526,1552440198.461682,6,9,1,1,0,836,72,123273216,117.562500,,,0,,123273216,117.562500,22157053040,21130.612411,22185418752,22728933376,22203132416,22728933376,22466413568,22728933376,280994816,0
8,1788404839.971735,1788404840.002190,1788404841.780055,1552440198.661806,9,12,1,1,0,839,72,123715584,117.984375,,,0,,123715584,117.984375,22157053040,21130.612411,22185418752,22728933376,22203132416,22728933376,22466413568,22728933376,280994816,0
9,1788404841.971834,1788404842.002641,1788404843.962904,1552440198.861960,12,15,1,1,0,842,72,124157952,118.406250,,,0,,124157952,118.406250,22157053040,21130.612411,22185418752,22728933376,22203132416,22728933376,22466413568,22728933376,280994816,0
10,1788404843.971742,1788404844.001670,1788404845.510691,1552440199.062081,10,13,1,1,0,840,72,123863040,118.125000,,,0,,123863040,118.125000,22157053040,21130.612411,22185418752,22728933376,22203132416,22728933376,22466413568,22728933376,280994816,0
11,1788404845.972415,1788404846.001999,1788404847.964995,1552440199.262213,12,15,1,1,0,842,72,124157952,118.406250,,,0,,124157952,118.406250,22157053040,21130.612411,22185418752,22728933376,22203132416,22728933376,22466413568,22728933376,280994816,0
12,1788404847.971814,1788404848.002267,1788404849.294932,1552440199.462292,7,10,1,1,0,837,72,123420672,117.703125,,,0,,123420672,117.703125,22157053040,21130.612411,22185418752,22728933376,22203132416,22728933376,22466413568,22728933376,280994816,0
13,1788404849.971466,1788404850.000826,1788404851.658052,1552440199.662372,8,11,1,1,0,838,72,123568128,117.843750,,,0,,123568128,117.843750,22157053040,21130.612411,22185418752,22728933376,22203132416,22728933376,22466413568,22728933376,280994816,0
14,1788404851.971906,1788404852.002490,1788404853.211353,1552440199.862453,6,9,1,1,0,836,72,123273216,117.562500,,,0,,123273216,117.562500,22157053040,21130.612411,22185418752,22728933376,22203132416,22728933376,22466413568,22728933376,280994816,0
15,1788404853.971624,1788404854.002652,1788404855.588619,1552440200.062459,7,10,1,1,0,837,72,123420672,117.703125,,,0,,123420672,117.703125,22157053040,21130.612411,22185418752,22728933376,22203132416,22728933376,22466413568,22728933376,280994816,0
16,1788404855.971625,1788404856.002419,1788404857.269619,1552440200.262495,7,10,1,1,0,837,72,123420672,117.703125,,,0,,123420672,117.703125,22157053040,21130.612411,22185418752,22728933376,22203132416,22728933376,22466413568,22728933376,280994816,0
17,1788404857.971495,1788404858.001139,1788404859.577124,1552440200.462525,7,10,1,1,0,837,72,123420672,117.703125,,,0,,123420672,117.703125,22157053040,21130.612411,22185418752,22728933376,22203132416,22728933376,22466413568,22728933376,280994816,0
18,1788404859.972052,1788404860.001761,1788404861.214526,1552440200.662540,6,9,1,1,0,836,72,123273216,117.562500,,,0,,123273216,117.562500,22157053040,21130.612411,22185418752,22728933376,22203132416,22728933376,22466413568,22728933376,280994816,0
19,1788404861.972019,1788404862.002429,1788404863.621667,1552440200.862590,11,14,1,1,0,841,72,124010496,118.265625,,,0,,124010496,118.265625,22157053040,21130.612411,22185418752,22728933376,22203132416,22728933376,22466413568,22728933376,280994816,0
20,1788404863.972076,1788404864.001561,1788404865.584896,1552440201.062589,11,14,1,1,0,841,72,124010496,118.265625,,,0,,124010496,118.265625,22157053040,21130.612411,22185418752,22728933376,22203132416,22728933376,22466413568,22728933376,280994816,0
