dataset,run,idx,ros_stamp_s,cfg_nav,reason_tokens,generated_token_slots,traj_start_token_rows,traj_start_token_all_rows,prompt_kv_seq_len,prompt_kv_mib,unguided_prompt_kv_mib,total_kv_mib,model_parameter_mib,cuda_peak_allocated_gib,cuda_peak_reserved_gib,cuda_peak_allocated_delta_mib,cuda_peak_reserved_delta_mib,kv_pct_of_peak_allocated,model_duration_s,input_camera_frames,gpu_energy_j,total_energy_j,total_tflop
MCity,kv/mcity_diff2,0,1545235952.923106,0,8,11,1,1,838,117.843750,,117.843750,21130.612411,20.923347,21.177734,269.354004,290.000000,0.550016,2.210877,4,39.874,129.706,63.947
MCity,kv/mcity_diff2,1,1545235954.923095,0,15,18,1,1,845,118.828125,,118.828125,21130.612411,20.923217,21.177734,268.218750,0.000000,0.554614,2.536426,4,49.209,160.799,64.067
MCity,kv/mcity_diff2,2,1545235956.923071,0,38,41,1,1,868,122.062500,,122.062500,21130.612411,20.923217,21.177734,268.218750,0.000000,0.569710,5.136436,4,90.937,311.799,64.460
MCity,kv/mcity_diff2,3,1545235959.923032,0,27,30,1,1,857,120.515625,,120.515625,21130.612411,20.923217,21.177734,268.218750,0.000000,0.562490,3.894801,4,71.498,239.558,64.272
MCity,kv/mcity_diff2,4,1545235961.883028,0,10,13,1,1,840,118.125000,,118.125000,21130.612411,20.923217,21.177734,268.218750,0.000000,0.551332,1.972159,4,43.773,128.312,63.981
MCity,kv/mcity_diff2,5,1545235962.923022,0,13,16,1,1,843,118.546875,,118.546875,21130.612411,20.923217,21.177734,268.218750,0.000000,0.553301,2.312396,4,50.446,148.418,64.032
MCity,kv/mcity_diff2,6,1545235964.882997,0,17,20,1,1,847,119.109375,,119.109375,21130.612411,20.923217,21.177734,268.218750,0.000000,0.555927,2.758664,4,53.017,173.864,64.101
MCity,kv/mcity_diff2,7,1545235966.923059,0,8,11,1,1,838,117.843750,,117.843750,21130.612411,20.923217,21.177734,268.218750,0.000000,0.550020,1.758460,4,36.704,115.480,63.947
MCity,kv/mcity_diff2,8,1545235967.902999,0,10,13,1,1,840,118.125000,,118.125000,21130.612411,20.923217,21.177734,268.218750,0.000000,0.551332,1.980964,4,43.076,129.179,63.981
MCity,kv/mcity_diff2,9,1545235968.883028,0,13,16,1,1,843,118.546875,,118.546875,21130.612411,20.923217,21.177734,268.218750,0.000000,0.553301,2.312864,4,50.389,148.268,64.032
MCity,kv/mcity_diff2,10,1545235970.882940,0,12,15,1,1,842,118.406250,,118.406250,21130.612411,20.923217,21.177734,268.218750,0.000000,0.552645,2.189690,4,43.836,141.291,64.015
MCity,kv/mcity_diff2,11,1545235972.903028,0,16,19,1,1,846,118.968750,,118.968750,21130.612411,20.923217,21.177734,268.218750,0.000000,0.555270,2.662708,4,51.299,168.229,64.084
MCity,kv/mcity_diff2,12,1545235974.902918,0,0,64,0,0,891,125.296875,,125.296875,21130.612411,20.923217,21.177734,268.218750,0.000000,0.584806,7.677140,4,132.236,461.474,64.032
MCity,kv/mcity_diff2,13,1545235978.882946,0,13,16,1,1,843,118.546875,,118.546875,21130.612411,20.923217,21.177734,268.218750,0.000000,0.553301,2.301846,4,47.722,148.314,64.135
MCity,kv/mcity_diff2,14,1545235980.902993,0,19,22,1,1,849,119.390625,,119.390625,21130.612411,20.923217,21.177734,268.218750,0.000000,0.557239,2.961092,4,56.562,186.458,64.409
MCity,kv/mcity_diff2,15,1545235982.922967,0,35,38,1,1,865,121.640625,,121.640625,21130.612411,20.923217,21.177734,268.218750,0.000000,0.567741,4.765047,4,85.609,292.795,63.947
MCity,kv/mcity_diff2,16,1545235985.902844,0,8,11,1,1,838,117.843750,,117.843750,21130.612411,20.923217,21.177734,268.218750,0.000000,0.550020,1.752659,4,36.722,115.776,63.913
MCity,kv/mcity_diff2,17,1545235986.882974,0,6,9,1,1,836,117.562500,,117.562500,21130.612411,20.923217,21.177734,268.218750,0.000000,0.548707,1.529763,4,35.446,102.984,64.084
MCity,kv/mcity_diff2,18,1545235987.922825,0,16,19,1,1,846,118.968750,,118.968750,21130.612411,20.923217,21.177734,268.218750,0.000000,0.555270,2.654351,4,52.894,168.665,64.084
MCity,kv/mcity_diff2,19,1545235989.902864,0,0,6,0,0,833,117.140625,,117.140625,21130.612411,20.923217,21.177734,268.218750,0.000000,0.546738,1.197569,4,26.969,83.274,63.947
MCity,kv/mcity_diff2,20,1545235990.922870,0,16,19,1,1,846,118.968750,,118.968750,21130.612411,20.923217,21.177734,268.218750,0.000000,0.555270,2.646611,4,52.070,169.156,64.340
