R,prev_nonav_mib,new_nonav_mib,new_minus_prev_nonav_mib,prev_nav_mib,new_nav_mib,new_minus_prev_nav_mib
0,432.000,441.000,9.000,864.000,849.938,-14.062
1,432.141,441.141,9.000,864.281,850.219,-14.062
2,432.281,441.281,9.000,864.562,850.500,-14.062
3,432.422,441.422,9.000,864.844,850.781,-14.062
4,432.562,441.562,9.000,865.125,851.062,-14.062
5,432.703,441.703,9.000,865.406,851.344,-14.062
6,432.844,441.844,9.000,865.688,851.625,-14.062
7,432.984,441.984,9.000,865.969,851.906,-14.062
8,433.125,442.125,9.000,866.250,852.188,-14.062
9,433.266,442.266,9.000,866.531,852.469,-14.062
10,433.406,442.406,9.000,866.812,852.750,-14.062
11,433.547,442.547,9.000,867.094,853.031,-14.062
12,433.688,442.688,9.000,867.375,853.312,-14.062
13,433.828,442.828,9.000,867.656,853.594,-14.062
14,433.969,442.969,9.000,867.938,853.875,-14.062
15,434.109,443.109,9.000,868.219,854.156,-14.062
16,434.250,443.250,9.000,868.500,854.438,-14.062
17,434.391,443.391,9.000,868.781,854.719,-14.062
18,434.531,443.531,9.000,869.062,855.000,-14.062
19,434.672,443.672,9.000,869.344,855.281,-14.062
20,434.812,443.812,9.000,869.625,855.562,-14.062
21,434.953,443.953,9.000,869.906,855.844,-14.062
22,435.094,444.094,9.000,870.188,856.125,-14.062
23,435.234,444.234,9.000,870.469,856.406,-14.062
24,435.375,444.375,9.000,870.750,856.688,-14.062
25,435.516,444.516,9.000,871.031,856.969,-14.062
26,435.656,444.656,9.000,871.312,857.250,-14.062
27,435.797,444.797,9.000,871.594,857.531,-14.062
28,435.938,444.938,9.000,871.875,857.812,-14.062
29,436.078,445.078,9.000,872.156,858.094,-14.062
30,436.219,445.219,9.000,872.438,858.375,-14.062
31,436.359,445.359,9.000,872.719,858.656,-14.062
32,436.500,445.500,9.000,873.000,858.938,-14.062
33,436.641,445.641,9.000,873.281,859.219,-14.062
34,436.781,445.781,9.000,873.562,859.500,-14.062
35,436.922,445.922,9.000,873.844,859.781,-14.062
36,437.062,446.062,9.000,874.125,860.062,-14.062
37,437.203,446.203,9.000,874.406,860.344,-14.062
38,437.344,446.344,9.000,874.688,860.625,-14.062
39,437.484,446.484,9.000,874.969,860.906,-14.062
40,437.625,446.625,9.000,875.250,861.188,-14.062
41,437.766,446.766,9.000,875.531,861.469,-14.062
42,437.906,446.906,9.000,875.812,861.750,-14.062
43,438.047,447.047,9.000,876.094,862.031,-14.062
44,438.188,447.188,9.000,876.375,862.312,-14.062
45,438.328,447.328,9.000,876.656,862.594,-14.062
46,438.469,447.469,9.000,876.938,862.875,-14.062
47,438.609,447.609,9.000,877.219,863.156,-14.062
48,438.750,447.750,9.000,877.500,863.438,-14.062
49,438.891,447.891,9.000,877.781,863.719,-14.062
50,439.031,448.031,9.000,878.062,864.000,-14.062
51,439.172,448.172,9.000,878.344,864.281,-14.062
52,439.312,448.312,9.000,878.625,864.562,-14.062
53,439.453,448.453,9.000,878.906,864.844,-14.062
54,439.594,448.594,9.000,879.188,865.125,-14.062
55,439.734,448.734,9.000,879.469,865.406,-14.062
56,439.875,448.875,9.000,879.750,865.688,-14.062
57,440.016,449.016,9.000,880.031,865.969,-14.062
58,440.156,449.156,9.000,880.312,866.250,-14.062
59,440.297,449.297,9.000,880.594,866.531,-14.062
60,440.438,449.438,9.000,880.875,866.812,-14.062
61,440.578,449.578,9.000,881.156,867.094,-14.062
62,440.719,449.719,9.000,881.438,867.375,-14.062
63,440.859,449.859,9.000,881.719,867.656,-14.062
64,441.000,450.000,9.000,882.000,867.938,-14.062
