idx,R,S,alpamayo15_measured_mib,alpamayo15_replay_mib,alpamayo2_measured_mib,ratio_2_over_15
0,9,3081,433.266,433.266,770.25,1.7778
1,14,3086,433.969,433.969,771.5,1.7778
2,10,3082,433.406,433.406,770.5,1.7778
3,12,3084,433.688,433.688,771.0,1.7778
4,10,3082,433.406,433.406,770.5,1.7778
5,9,3081,433.266,433.266,770.25,1.7778
6,9,3081,433.266,433.266,770.25,1.7778
7,12,3084,433.688,433.688,771.0,1.7778
8,15,3087,434.109,434.109,771.75,1.7778
9,15,3087,434.109,434.109,771.75,1.7778
10,36,3108,437.062,437.062,777.0,1.7778
11,9,3081,433.266,433.266,770.25,1.7778
12,15,3087,434.109,434.109,771.75,1.7778
13,9,3081,433.266,433.266,770.25,1.7778
14,9,3081,433.266,433.266,770.25,1.7778
15,10,3082,433.406,433.406,770.5,1.7778
16,9,3081,433.266,433.266,770.25,1.7778
17,9,3081,433.266,433.266,770.25,1.7778
18,9,3081,433.266,433.266,770.25,1.7778
19,9,3081,433.266,433.266,770.25,1.7778
20,11,3083,433.547,433.547,770.75,1.7778
21,9,3081,433.266,433.266,770.25,1.7778
22,12,3084,433.688,433.688,771.0,1.7778
23,9,3081,433.266,433.266,770.25,1.7778
24,13,3085,433.828,433.828,771.25,1.7778
25,23,3095,435.234,435.234,773.75,1.7778
26,9,3081,433.266,433.266,770.25,1.7778
27,9,3081,433.266,433.266,770.25,1.7778
28,9,3081,433.266,433.266,770.25,1.7778
29,23,3095,435.234,435.234,773.75,1.7778
30,13,3085,433.828,433.828,771.25,1.7778
31,13,3085,433.828,433.828,771.25,1.7778
32,12,3084,433.688,433.688,771.0,1.7778
33,9,3081,433.266,433.266,770.25,1.7778
34,12,3084,433.688,433.688,771.0,1.7778
35,10,3082,433.406,433.406,770.5,1.7778
36,9,3081,433.266,433.266,770.25,1.7778
37,9,3081,433.266,433.266,770.25,1.7778
38,9,3081,433.266,433.266,770.25,1.7778
39,10,3082,433.406,433.406,770.5,1.7778
40,9,3081,433.266,433.266,770.25,1.7778
41,13,3085,433.828,433.828,771.25,1.7778
42,9,3081,433.266,433.266,770.25,1.7778
