idx,start_wall_s,model_start_wall_s,end_wall_s,ros_stamp_s,reason_tokens,generated_token_slots,traj_start_token_rows,traj_start_token_all_rows,cfg_nav,prompt_kv_seq_len,prompt_kv_tensors,prompt_kv_bytes,prompt_kv_mib,unguided_prompt_kv_seq_len,unguided_prompt_kv_tensors,unguided_prompt_kv_bytes,unguided_prompt_kv_mib,total_kv_bytes,total_kv_mib,model_parameter_bytes,model_parameter_mib,cuda_memory_allocated_start_bytes,cuda_memory_reserved_start_bytes,cuda_memory_allocated_end_bytes,cuda_memory_reserved_end_bytes,cuda_memory_peak_allocated_bytes,cuda_memory_peak_reserved_bytes,cuda_memory_peak_allocated_delta_bytes,cuda_memory_peak_reserved_delta_bytes
0,1786913326.147619,1786913326.229158,1786913328.440035,1545235952.923106,8,11,1,1,0,838,72,123568128,117.843750,,,0,,123568128,117.843750,22157053040,21130.612411,22183835136,22435332096,22202598912,22739419136,22466273280,22739419136,282438144,304087040
1,1786913330.147472,1786913330.152597,1786913332.689023,1545235954.923095,15,18,1,1,0,845,72,124600320,118.828125,,,0,,124600320,118.828125,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
2,1786913334.147465,1786913334.152453,1786913339.288889,1545235956.923071,38,41,1,1,0,868,72,127991808,122.062500,,,0,,127991808,122.062500,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
3,1786913340.148080,1786913340.154888,1786913344.049690,1545235959.923032,27,30,1,1,0,857,72,126369792,120.515625,,,0,,126369792,120.515625,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
4,1786913344.147799,1786913344.152454,1786913346.124613,1545235961.883028,10,13,1,1,0,840,72,123863040,118.125000,,,0,,123863040,118.125000,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
5,1786913346.147709,1786913346.152447,1786913348.464842,1545235962.923022,13,16,1,1,0,843,72,124305408,118.546875,,,0,,124305408,118.546875,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
6,1786913350.147456,1786913350.152529,1786913352.911193,1545235964.882997,17,20,1,1,0,847,72,124895232,119.109375,,,0,,124895232,119.109375,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
7,1786913354.147532,1786913354.152318,1786913355.910778,1545235966.923059,8,11,1,1,0,838,72,123568128,117.843750,,,0,,123568128,117.843750,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
8,1786913356.147561,1786913356.152464,1786913358.133429,1545235967.902999,10,13,1,1,0,840,72,123863040,118.125000,,,0,,123863040,118.125000,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
9,1786913358.147585,1786913358.151970,1786913360.464834,1545235968.883028,13,16,1,1,0,843,72,124305408,118.546875,,,0,,124305408,118.546875,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
