idx,start_wall_s,model_start_wall_s,end_wall_s,ros_stamp_s,reason_tokens,generated_token_slots,traj_start_token_rows,traj_start_token_all_rows,cfg_nav,prompt_kv_seq_len,prompt_kv_tensors,prompt_kv_bytes,prompt_kv_mib,unguided_prompt_kv_seq_len,unguided_prompt_kv_tensors,unguided_prompt_kv_bytes,unguided_prompt_kv_mib,total_kv_bytes,total_kv_mib,model_parameter_bytes,model_parameter_mib,cuda_memory_allocated_start_bytes,cuda_memory_reserved_start_bytes,cuda_memory_allocated_end_bytes,cuda_memory_reserved_end_bytes,cuda_memory_peak_allocated_bytes,cuda_memory_peak_reserved_bytes,cuda_memory_peak_allocated_delta_bytes,cuda_memory_peak_reserved_delta_bytes
0,1788404037.177094,1788404037.313106,1788404043.586621,1552440196.862068,6,9,1,1,1,3101,72,457261056,436.078125,3095,72,456376320,435.234375,913637376,871.312500,22157053040,21130.612411,22204156416,22598909952,22276565504,23991418880,23685948928,24125636608,1481792512,1526726656
1,1788404044.177069,1788404044.243812,1788404050.469594,1552440197.561553,11,14,1,1,1,3106,72,457998336,436.781250,3100,72,457113600,435.937500,915111936,872.718750,22157053040,21130.612411,22205374464,23991418880,22276209152,24014487552,23686267392,24383586304,1480892928,392167424
2,1788404051.177228,1788404051.228565,1788404056.981030,1552440198.261568,7,10,1,1,1,3102,72,457408512,436.218750,3096,72,456523776,435.375000,913932288,871.593750,22157053040,21130.612411,22205374464,24014487552,22276209152,24058527744,23685668352,24406654976,1480293888,392167424
3,1788404057.177277,1788404057.230454,1788404063.290705,1552440198.861960,9,12,1,1,1,3104,72,457703424,436.500000,3098,72,456818688,435.656250,914522112,872.156250,22157053040,21130.612411,22205374464,24058527744,22276209152,24008196096,23685933056,24450695168,1480558592,392167424
4,1788404064.177162,1788404064.276595,1788404070.157242,1552440199.562359,7,10,1,1,1,3102,72,457408512,436.218750,3096,72,456523776,435.375000,913932288,871.593750,22157053040,21130.612411,22205206528,24008196096,22276041216,24045944832,23685500416,24400363520,1480293888,392167424
5,1788404070.176942,1788404070.231351,1788404076.076471,1552440200.162477,7,10,1,1,1,3102,72,457408512,436.218750,3096,72,456523776,435.375000,913932288,871.593750,22157053040,21130.612411,22205374464,24045944832,22276209152,23993516032,23685668352,24438112256,1480293888,392167424
6,1788404076.176714,1788404076.223211,1788404082.490720,1552440200.762574,11,14,1,1,1,3106,72,457998336,436.781250,3100,72,457113600,435.937500,915111936,872.718750,22157053040,21130.612411,22205206528,23993516032,22276041216,24016584704,23686099456,24385683456,1480892928,392167424
7,1788404083.177046,1788404083.273431,1788404089.263780,1552440201.462555,8,11,1,1,1,3103,72,457555968,436.359375,3097,72,456671232,435.515625,914227200,871.875000,22157053040,21130.612411,22205374464,24016584704,22276209152,24012390400,23685818368,24463278080,1480443904,446693376
8,1788404090.176400,1788404090.244204,1788404097.174583,1552440202.162491,17,20,1,1,1,3112,72,458883072,437.625000,3106,72,457998336,436.781250,916881408,874.406250,22157053040,21130.612411,22205206528,24012390400,22276041216,24014487552,23686998016,24404557824,1481791488,392167424
9,1788404097.176758,1788404097.221906,1788404103.147370,1552440202.862531,8,11,1,1,1,3103,72,457555968,436.359375,3097,72,456671232,435.515625,914227200,871.875000,22157053040,21130.612411,22205374464,24014487552,22276209152,24050139136,23685818368,24406654976,1480443904,392167424
10,1788404103.176716,1788404103.224535,1788404109.787876,1552440203.462559,14,17,1,1,1,3109,72,458440704,437.203125,3103,72,457555968,436.359375,915996672,873.562500,22157053040,21130.612411,22205374464,24050139136,22276209152,24050139136,23686716928,24442306560,1481342464,392167424
11,1788404110.177093,1788404110.275597,1788404117.023815,1552440204.162552,17,20,1,1,1,3112,72,458883072,437.625000,3106,72,457998336,436.781250,916881408,874.406250,22157053040,21130.612411,22205374464,24050139136,22276209152,24050139136,23687114752,24442306560,1481740288,392167424
12,1788404117.177096,1788404117.272421,1788404122.960143,1552440204.862543,6,9,1,1,1,3101,72,457261056,436.078125,3095,72,456376320,435.234375,913637376,871.312500,22157053040,21130.612411,22205374464,24050139136,22276209152,24050139136,23685518848,24442306560,1480144384,392167424
13,1788404123.176547,1788404123.229832,1788404128.919381,1552440205.462567,7,10,1,1,1,3102,72,457408512,436.218750,3096,72,456523776,435.375000,913932288,871.593750,22157053040,21130.612411,22205374464,24050139136,22276209152,24050139136,23685637632,24442306560,1480263168,392167424
14,1788404129.176438,1788404129.229482,1788404134.847393,1552440206.062392,6,9,1,1,1,3101,72,457261056,436.078125,3095,72,456376320,435.234375,913637376,871.312500,22157053040,21130.612411,22205374464,24050139136,22276209152,24020779008,23685518848,24442306560,1480144384,392167424
15,1788404135.176532,1788404135.224222,1788404141.252950,1552440206.662319,10,13,1,1,1,3105,72,457850880,436.640625,3099,72,456966144,435.796875,914817024,872.437500,22157053040,21130.612411,22205374464,24020779008,22276209152,24022876160,23686117888,24412946432,1480743424,392167424
16,1788404142.177044,1788404142.276297,1788404148.022988,1552440207.362486,6,9,1,1,1,3101,72,457261056,436.078125,3095,72,456376320,435.234375,913637376,871.312500,22157053040,21130.612411,22205374464,24022876160,22276209152,24022876160,23685490176,24469569536,1480115712,446693376
17,1788404148.176485,1788404148.220478,1788404155.078237,1552440207.962624,16,19,1,1,1,3111,72,458735616,437.484375,3105,72,457850880,436.640625,916586496,874.125000,22157053040,21130.612411,22205374464,24022876160,22276209152,24022876160,23686967296,24469569536,1481592832,446693376
18,1788404155.176994,1788404155.273863,1788404161.036674,1552440208.662603,6,9,1,1,1,3101,72,457261056,436.078125,3095,72,456376320,435.234375,913637376,871.312500,22157053040,21130.612411,22205374464,24022876160,22276209152,24022876160,23685490176,24469569536,1480115712,446693376
19,1788404161.176197,1788404161.239049,1788404166.926715,1552440209.262542,6,9,1,1,1,3101,72,457261056,436.078125,3095,72,456376320,435.234375,913637376,871.312500,22157053040,21130.612411,22205374464,24022876160,22276209152,24022876160,23685490176,24469569536,1480115712,446693376
20,1788404167.176138,1788404167.239633,1788404172.956912,1552440209.862538,6,9,1,1,1,3101,72,457261056,436.078125,3095,72,456376320,435.234375,913637376,871.312500,22157053040,21130.612411,22205374464,24022876160,22276209152,24022876160,23685490176,24469569536,1480115712,446693376
21,1788404173.176612,1788404173.234859,1788404179.631794,1552440210.462502,12,15,1,1,1,3107,72,458145792,436.921875,3101,72,457261056,436.078125,915406848,873.000000,22157053040,21130.612411,22205374464,24022876160,22276209152,24022876160,23686376448,24469569536,1481001984,446693376
22,1788404180.177052,1788404180.276895,1788404186.009641,1552440211.162579,6,9,1,1,1,3101,72,457261056,436.078125,3095,72,456376320,435.234375,913637376,871.312500,22157053040,21130.612411,22205374464,24022876160,22276209152,24022876160,23685490176,24469569536,1480115712,446693376
23,1788404186.176554,1788404186.223449,1788404191.849355,1552440211.762549,6,9,1,1,1,3101,72,457261056,436.078125,3095,72,456376320,435.234375,913637376,871.312500,22157053040,21130.612411,22205374464,24022876160,22276209152,24022876160,23685490176,24469569536,1480115712,446693376
24,1788404192.177075,1788404192.252393,1788404197.893159,1552440212.362571,6,9,1,1,1,3101,72,457261056,436.078125,3095,72,456376320,435.234375,913637376,871.312500,22157053040,21130.612411,22205374464,24022876160,22276209152,24022876160,23685490176,24469569536,1480115712,446693376
25,1788404198.177077,1788404198.235168,1788404203.008040,1552440212.962514,6,9,1,1,1,3101,72,457261056,436.078125,3095,72,456376320,435.234375,913637376,871.312500,22157053040,21130.612411,22205374464,24022876160,22276209152,24022876160,23685490176,24469569536,1480115712,446693376
26,1788404203.177078,1788404203.274913,1788404208.395825,1552440213.462541,9,12,1,1,1,3104,72,457703424,436.500000,3098,72,456818688,435.656250,914522112,872.156250,22157053040,21130.612411,22205374464,24022876160,22276209152,24022876160,23685967872,24469569536,1480593408,446693376
27,1788404209.177150,1788404209.225049,1788404214.436709,1552440214.062532,10,13,1,1,1,3105,72,457850880,436.640625,3099,72,456966144,435.796875,914817024,872.437500,22157053040,21130.612411,22205374464,24022876160,22276209152,24022876160,23686081024,24469569536,1480706560,446693376
