idx,start_wall_s,model_start_wall_s,end_wall_s,ros_stamp_s,reason_tokens,generated_token_slots,traj_start_token_rows,traj_start_token_all_rows,cfg_nav,prompt_kv_seq_len,prompt_kv_tensors,prompt_kv_bytes,prompt_kv_mib,unguided_prompt_kv_seq_len,unguided_prompt_kv_tensors,unguided_prompt_kv_bytes,unguided_prompt_kv_mib,total_kv_bytes,total_kv_mib,model_parameter_bytes,model_parameter_mib,cuda_memory_allocated_start_bytes,cuda_memory_reserved_start_bytes,cuda_memory_allocated_end_bytes,cuda_memory_reserved_end_bytes,cuda_memory_peak_allocated_bytes,cuda_memory_peak_reserved_bytes,cuda_memory_peak_allocated_delta_bytes,cuda_memory_peak_reserved_delta_bytes
0,1788404300.942810,1788404301.164559,1788404307.438134,1552440196.862068,6,9,1,1,1,3101,72,457261056,436.078125,3095,72,456376320,435.234375,913637376,871.312500,22157053040,21130.612411,22204156416,22598909952,22276565504,23991418880,23685948928,24125636608,1481792512,1526726656
1,1788404307.943545,1788404308.005606,1788404314.348599,1552440197.561553,11,14,1,1,1,3106,72,457998336,436.781250,3100,72,457113600,435.937500,915111936,872.718750,22157053040,21130.612411,22205374464,23991418880,22276209152,24014487552,23686267392,24383586304,1480892928,392167424
2,1788404314.943553,1788404315.042058,1788404320.942038,1552440198.261568,7,10,1,1,1,3102,72,457408512,436.218750,3096,72,456523776,435.375000,913932288,871.593750,22157053040,21130.612411,22205374464,24014487552,22276209152,24058527744,23685668352,24406654976,1480293888,392167424
3,1788404321.943111,1788404321.993909,1788404328.351046,1552440198.962023,13,16,1,1,1,3108,72,458293248,437.062500,3102,72,457408512,436.218750,915701760,873.281250,22157053040,21130.612411,22205374464,24058527744,22276209152,24008196096,23686523904,24450695168,1481149440,392167424
4,1788404328.943119,1788404328.991686,1788404334.711128,1552440199.662372,6,9,1,1,1,3101,72,457261056,436.078125,3095,72,456376320,435.234375,913637376,871.312500,22157053040,21130.612411,22205206528,24008196096,22276041216,24045944832,23685350912,24400363520,1480144384,392167424
5,1788404334.943135,1788404335.024010,1788404340.556002,1552440200.262495,5,8,1,1,1,3100,72,457113600,435.937500,3094,72,456228864,435.093750,913342464,871.031250,22157053040,21130.612411,22205374464,24045944832,22276209152,23993516032,23685368832,24438112256,1479994368,392167424
6,1788404340.942986,1788404341.017304,1788404346.733224,1552440200.862590,6,9,1,1,1,3101,72,457261056,436.078125,3095,72,456376320,435.234375,913637376,871.312500,22157053040,21130.612411,22205206528,23993516032,22276041216,24016584704,23685350912,24385683456,1480144384,392167424
7,1788404346.943001,1788404346.988717,1788404353.315112,1552440201.462555,12,15,1,1,1,3107,72,458145792,436.921875,3101,72,457261056,436.078125,915406848,873.000000,22157053040,21130.612411,22205374464,24016584704,22276209152,24035459072,23686417408,24463278080,1481042944,446693376
8,1788404353.943002,1788404353.995251,1788404360.534694,1552440202.162491,17,20,1,1,1,3112,72,458883072,437.625000,3106,72,457998336,436.781250,916881408,874.406250,22157053040,21130.612411,22205374464,24035459072,22276209152,23997710336,23687165952,24482152448,1481791488,446693376
9,1788404360.943025,1788404361.021905,1788404365.792528,1552440202.862531,8,11,1,1,1,3103,72,457555968,436.359375,3097,72,456671232,435.515625,914227200,871.875000,22157053040,21130.612411,22205206528,23997710336,22276041216,24024973312,23685650432,24389877760,1480443904,392167424
