idx,start_wall_s,model_start_wall_s,end_wall_s,ros_stamp_s,reason_tokens,generated_token_slots,traj_start_token_rows,traj_start_token_all_rows,cfg_nav,prompt_kv_seq_len,prompt_kv_tensors,prompt_kv_bytes,prompt_kv_mib,unguided_prompt_kv_seq_len,unguided_prompt_kv_tensors,unguided_prompt_kv_bytes,unguided_prompt_kv_mib,total_kv_bytes,total_kv_mib,model_parameter_bytes,model_parameter_mib,cuda_memory_allocated_start_bytes,cuda_memory_reserved_start_bytes,cuda_memory_allocated_end_bytes,cuda_memory_reserved_end_bytes,cuda_memory_peak_allocated_bytes,cuda_memory_peak_reserved_bytes,cuda_memory_peak_allocated_delta_bytes,cuda_memory_peak_reserved_delta_bytes
0,1788404561.476118,1788404561.691495,1788404567.987918,1552440196.961980,6,9,1,1,1,3101,72,457261056,436.078125,3095,72,456376320,435.234375,913637376,871.312500,22157053040,21130.612411,22204156416,22598909952,22276565504,23991418880,23685948928,24125636608,1481792512,1526726656
1,1788404568.475660,1788404568.569844,1788404576.986348,1552440197.661538,33,36,1,1,1,3128,72,461242368,439.875000,3122,72,460357632,439.031250,921600000,878.906250,22157053040,21130.612411,22205374464,23991418880,22276209152,24018681856,23689646080,24383586304,1484271616,392167424
2,1788404577.475708,1788404577.530464,1788404582.846621,1552440198.561742,10,13,1,1,1,3105,72,457850880,436.640625,3099,72,456966144,435.796875,914817024,872.437500,22157053040,21130.612411,22205374464,24018681856,22276209152,24008196096,23686117888,24410849280,1480743424,392167424
3,1788404583.476001,1788404583.537123,1788404588.220119,1552440199.162145,8,11,1,1,1,3103,72,457555968,436.359375,3097,72,456671232,435.515625,914227200,871.875000,22157053040,21130.612411,22205206528,24008196096,22276041216,24016584704,23685650432,24400363520,1480443904,392167424
4,1788404588.475968,1788404588.547010,1788404593.122165,1552440199.662372,7,10,1,1,1,3102,72,457408512,436.218750,3096,72,456523776,435.375000,913932288,871.593750,22157053040,21130.612411,22205374464,24016584704,22276209152,24035459072,23685637632,24463278080,1480263168,446693376
5,1788404593.475720,1788404593.524760,1788404597.991289,1552440200.162477,6,9,1,1,1,3101,72,457261056,436.078125,3095,72,456376320,435.234375,913637376,871.312500,22157053040,21130.612411,22205374464,24035459072,22276209152,23993516032,23685518848,24427626496,1480144384,392167424
6,1788404598.475517,1788404598.555845,1788404603.086501,1552440200.662540,6,9,1,1,1,3101,72,457261056,436.078125,3095,72,456376320,435.234375,913637376,871.312500,22157053040,21130.612411,22205206528,23993516032,22276041216,24016584704,23685350912,24385683456,1480144384,392167424
7,1788404603.475987,1788404603.537631,1788404608.013339,1552440201.162602,6,9,1,1,1,3101,72,457261056,436.078125,3095,72,456376320,435.234375,913637376,871.312500,22157053040,21130.612411,22205374464,24016584704,22276209152,23993516032,23685518848,24463278080,1480144384,446693376
8,1788404608.475624,1788404608.525499,1788404613.218738,1552440201.662519,9,12,1,1,1,3104,72,457703424,436.500000,3098,72,456818688,435.656250,914522112,872.156250,22157053040,21130.612411,22205206528,23993516032,22276041216,24016584704,23685799936,24385683456,1480593408,392167424
9,1788404613.475498,1788404613.540033,1788404618.543478,1552440202.162491,13,16,1,1,1,3108,72,458293248,437.062500,3102,72,457408512,436.218750,915701760,873.281250,22157053040,21130.612411,22205374464,24016584704,22276209152,24022876160,23686566912,24463278080,1481192448,446693376
10,1788404619.475967,1788404619.574215,1788404624.162439,1552440202.762508,7,10,1,1,1,3102,72,457408512,436.218750,3096,72,456523776,435.375000,913932288,871.593750,22157053040,21130.612411,22205374464,24022876160,22276209152,24022876160,23685668352,24469569536,1480293888,446693376
11,1788404624.476020,1788404624.574123,1788404629.044033,1552440203.262548,6,9,1,1,1,3101,72,457261056,436.078125,3095,72,456376320,435.234375,913637376,871.312500,22157053040,21130.612411,22205374464,24022876160,22276209152,24022876160,23685490176,24469569536,1480115712,446693376
12,1788404629.475963,1788404629.535937,1788404634.000061,1552440203.762549,6,9,1,1,1,3101,72,457261056,436.078125,3095,72,456376320,435.234375,913637376,871.312500,22157053040,21130.612411,22205374464,24022876160,22276209152,24022876160,23685490176,24469569536,1480115712,446693376
13,1788404634.475777,1788404634.531028,1788404639.734758,1552440204.262537,15,18,1,1,1,3110,72,458588160,437.343750,3104,72,457703424,436.500000,916291584,873.843750,22157053040,21130.612411,22205374464,24022876160,22276209152,24022876160,23686866432,24469569536,1481491968,446693376
14,1788404640.475564,1788404640.543902,1788404645.011504,1552440204.862543,6,9,1,1,1,3101,72,457261056,436.078125,3095,72,456376320,435.234375,913637376,871.312500,22157053040,21130.612411,22205374464,24022876160,22276209152,24022876160,23685490176,24469569536,1480115712,446693376
15,1788404645.475741,1788404645.525195,1788404650.311962,1552440205.362580,10,13,1,1,1,3105,72,457850880,436.640625,3099,72,456966144,435.796875,914817024,872.437500,22157053040,21130.612411,22205374464,24022876160,22276209152,24022876160,23686081024,24469569536,1480706560,446693376
16,1788404650.475342,1788404650.527155,1788404655.025317,1552440205.862467,6,9,1,1,1,3101,72,457261056,436.078125,3095,72,456376320,435.234375,913637376,871.312500,22157053040,21130.612411,22205374464,24022876160,22276209152,24022876160,23685490176,24469569536,1480115712,446693376
17,1788404655.475857,1788404655.531963,1788404660.363072,1552440206.362294,10,13,1,1,1,3105,72,457850880,436.640625,3099,72,456966144,435.796875,914817024,872.437500,22157053040,21130.612411,22205374464,24022876160,22276209152,24022876160,23686081024,24469569536,1480706560,446693376
18,1788404660.475563,1788404660.572189,1788404665.539137,1552440206.862362,12,15,1,1,1,3107,72,458145792,436.921875,3101,72,457261056,436.078125,915406848,873.000000,22157053040,21130.612411,22205374464,24022876160,22276209152,24022876160,23686376448,24469569536,1481001984,446693376
19,1788404666.475383,1788404666.531334,1788404671.097234,1552440207.462549,7,10,1,1,1,3102,72,457408512,436.218750,3096,72,456523776,435.375000,913932288,871.593750,22157053040,21130.612411,22205374464,24022876160,22276209152,24022876160,23685668352,24469569536,1480293888,446693376
20,1788404671.475967,1788404671.543161,1788404676.042760,1552440207.962624,6,9,1,1,1,3101,72,457261056,436.078125,3095,72,456376320,435.234375,913637376,871.312500,22157053040,21130.612411,22205374464,24022876160,22276209152,24022876160,23685490176,24469569536,1480115712,446693376
21,1788404676.475768,1788404676.530577,1788404681.330491,1552440208.462598,10,13,1,1,1,3105,72,457850880,436.640625,3099,72,456966144,435.796875,914817024,872.437500,22157053040,21130.612411,22205374464,24022876160,22276209152,24022876160,23686081024,24469569536,1480706560,446693376
22,1788404681.476231,1788404681.538552,1788404686.004437,1552440208.962571,6,9,1,1,1,3101,72,457261056,436.078125,3095,72,456376320,435.234375,913637376,871.312500,22157053040,21130.612411,22205374464,24022876160,22276209152,24022876160,23685490176,24469569536,1480115712,446693376
23,1788404686.476033,1788404686.538055,1788404691.019449,1552440209.462589,6,9,1,1,1,3101,72,457261056,436.078125,3095,72,456376320,435.234375,913637376,871.312500,22157053040,21130.612411,22205374464,24022876160,22276209152,24022876160,23685490176,24469569536,1480115712,446693376
24,1788404691.475931,1788404691.529543,1788404695.999095,1552440209.962528,6,9,1,1,1,3101,72,457261056,436.078125,3095,72,456376320,435.234375,913637376,871.312500,22157053040,21130.612411,22205374464,24022876160,22276209152,24022876160,23685490176,24469569536,1480115712,446693376
25,1788404696.475489,1788404696.540834,1788404701.293514,1552440210.462502,10,13,1,1,1,3105,72,457850880,436.640625,3099,72,456966144,435.796875,914817024,872.437500,22157053040,21130.612411,22205374464,24022876160,22276209152,24022876160,23686081024,24469569536,1480706560,446693376
26,1788404701.475527,1788404701.556471,1788404706.448633,1552440210.962525,12,15,1,1,1,3107,72,458145792,436.921875,3101,72,457261056,436.078125,915406848,873.000000,22157053040,21130.612411,22205374464,24022876160,22276209152,24022876160,23686376448,24469569536,1481001984,446693376
