idx,start_wall_s,model_start_wall_s,end_wall_s,ros_stamp_s,reason_tokens,generated_token_slots,traj_start_token_rows,traj_start_token_all_rows,cfg_nav,prompt_kv_seq_len,prompt_kv_tensors,prompt_kv_bytes,prompt_kv_mib,unguided_prompt_kv_seq_len,unguided_prompt_kv_tensors,unguided_prompt_kv_bytes,unguided_prompt_kv_mib,total_kv_bytes,total_kv_mib,model_parameter_bytes,model_parameter_mib,cuda_memory_allocated_start_bytes,cuda_memory_reserved_start_bytes,cuda_memory_allocated_end_bytes,cuda_memory_reserved_end_bytes,cuda_memory_peak_allocated_bytes,cuda_memory_peak_reserved_bytes,cuda_memory_peak_allocated_delta_bytes,cuda_memory_peak_reserved_delta_bytes
0,1786913028.720361,1786913028.864751,1786913032.950071,1552440196.862068,6,9,1,1,0,3081,72,454311936,433.265625,,,0,,454311936,433.265625,22157053040,21130.612411,22204156416,22598909952,22276565504,23712497664,23226484736,23712497664,1022328320,1113587712
1,1786913033.720622,1786913033.744432,1786913037.685583,1552440197.361693,11,14,1,1,0,3086,72,455049216,433.968750,,,0,,455049216,433.968750,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
2,1786913037.720344,1786913037.742721,1786913041.217327,1552440197.761529,7,10,1,1,0,3082,72,454459392,433.406250,,,0,,454459392,433.406250,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
3,1786913041.720407,1786913041.742600,1786913045.429446,1552440198.161543,9,12,1,1,0,3084,72,454754304,433.687500,,,0,,454754304,433.687500,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
4,1786913045.720285,1786913045.742553,1786913049.205918,1552440198.561742,7,10,1,1,0,3082,72,454459392,433.406250,,,0,,454459392,433.406250,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
5,1786913049.720370,1786913049.742458,1786913053.094679,1552440198.962023,6,9,1,1,0,3081,72,454311936,433.265625,,,0,,454311936,433.265625,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
6,1786913053.720333,1786913053.742398,1786913057.103052,1552440199.362275,6,9,1,1,0,3081,72,454311936,433.265625,,,0,,454311936,433.265625,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
7,1786913057.720546,1786913057.742719,1786913061.441974,1552440199.762434,9,12,1,1,0,3084,72,454754304,433.687500,,,0,,454754304,433.687500,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
8,1786913061.720357,1786913061.742982,1786913065.800348,1552440200.162477,12,15,1,1,0,3087,72,455196672,434.109375,,,0,,455196672,434.109375,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
9,1786913066.720553,1786913066.745519,1786913070.741862,1552440200.662540,12,15,1,1,0,3087,72,455196672,434.109375,,,0,,455196672,434.109375,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
10,1786913071.720330,1786913071.742809,1786913078.145688,1552440201.162602,33,36,1,1,0,3108,72,458293248,437.062500,,,0,,458293248,437.062500,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
11,1786913078.720339,1786913078.742471,1786913082.075974,1552440201.862530,6,9,1,1,0,3081,72,454311936,433.265625,,,0,,454311936,433.265625,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
12,1786913082.720267,1786913082.742708,1786913086.724705,1552440202.262511,12,15,1,1,0,3087,72,455196672,434.109375,,,0,,455196672,434.109375,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
13,1786913087.720424,1786913087.742712,1786913091.096203,1552440202.762508,6,9,1,1,0,3081,72,454311936,433.265625,,,0,,454311936,433.265625,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
14,1786913091.720540,1786913091.743550,1786913095.096158,1552440203.162558,6,9,1,1,0,3081,72,454311936,433.265625,,,0,,454311936,433.265625,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
