pred_idx,point_idx,time_from_start_s,target_stamp_s,gt_stamp_s,gt_dt_error_s,track_id,class_name,pred_x,pred_y,actor_x_t0,actor_y_t0,center_distance_m,clearance_m
6,2,0.200,1552440196.162582,1552440196.162525,-0.000057,dWu2dkV959ZVbiXuXYme9A,vehicle,7.399122,1.480072,7.133116,3.446609,1.984446,0.000000
6,3,0.300,1552440196.262582,1552440196.262481,-0.000101,dWu2dkV959ZVbiXuXYme9A,vehicle,9.751627,2.434832,7.132896,3.446147,2.807225,0.000000
6,4,0.400,1552440196.362582,1552440196.362468,-0.000114,dWu2dkV959ZVbiXuXYme9A,vehicle,12.059393,3.506815,7.133226,3.444677,4.926558,0.000000
6,6,0.600,1552440196.562582,1552440196.562294,-0.000288,2SYmRAjI0pCOwp2XYemMBQ,pedestrian,16.630627,5.779789,17.278428,7.507087,1.844778,0.000000
6,7,0.700,1552440196.662582,1552440196.662213,-0.000369,2SYmRAjI0pCOwp2XYemMBQ,pedestrian,18.938728,6.884743,17.277624,7.507749,1.774093,0.000000
6,15,1.500,1552440197.462582,1552440197.461606,-0.000976,dNW3S4yA8s8GmltmAPV8LQ,pedestrian,38.751720,11.690660,39.572003,10.295065,1.618811,0.000000
6,16,1.600,1552440197.562582,1552440197.561553,-0.001029,dNW3S4yA8s8GmltmAPV8LQ,pedestrian,41.327835,11.640999,39.582919,10.483318,2.094029,0.000000
6,22,2.200,1552440198.162582,1552440198.161543,-0.001039,jDO7AFvKzSj9IBX0gjUdVw,pedestrian,56.392757,8.176788,57.810584,6.083198,2.528508,0.000000
6,23,2.300,1552440198.262582,1552440198.261568,-0.001014,jDO7AFvKzSj9IBX0gjUdVw,pedestrian,58.756683,7.081285,57.671962,6.082426,1.474565,0.000000
6,26,2.600,1552440198.562582,1552440198.561742,-0.000840,x3d22mf0934NCWzNdz1CVg,vehicle,65.394058,2.915206,68.904099,3.375953,3.540151,0.000000
6,27,2.700,1552440198.662582,1552440198.661806,-0.000776,x3d22mf0934NCWzNdz1CVg,vehicle,67.414383,1.241357,68.904908,3.377122,2.604449,0.000000
6,29,2.900,1552440198.862582,1552440198.861960,-0.000622,MiCZZ3rqhKcOcnCHU5pMQg,vehicle,71.082634,-2.514621,73.665534,-5.424022,3.890500,0.000000
6,30,3.000,1552440198.962582,1552440198.962023,-0.000559,MiCZZ3rqhKcOcnCHU5pMQg,vehicle,72.704391,-4.583795,73.665694,-5.423358,1.276310,0.000000
6,31,3.100,1552440199.062582,1552440199.062081,-0.000501,MiCZZ3rqhKcOcnCHU5pMQg,vehicle,74.169357,-6.768297,73.665623,-5.423255,1.436275,0.000000
6,34,3.400,1552440199.362582,1552440199.362275,-0.000307,Qk60fGhJPpHJTNmg9RXYjQ,pedestrian,77.545448,-13.892448,77.378229,-15.116847,1.235765,0.000000
6,35,3.500,1552440199.462582,1552440199.462292,-0.000290,Qk60fGhJPpHJTNmg9RXYjQ,pedestrian,78.316795,-16.411619,77.236368,-15.116057,1.686951,0.000000
7,25,2.500,1552440199.461980,1552440199.462292,0.000312,8IZ7fkXm0FDeUdEuJAqSlA,pedestrian,30.682272,5.911685,32.405284,7.256810,2.185893,0.000000
7,26,2.600,1552440199.561980,1552440199.562359,0.000379,8IZ7fkXm0FDeUdEuJAqSlA,pedestrian,31.722216,6.158839,32.405407,7.257672,1.293903,0.000000
7,27,2.700,1552440199.661980,1552440199.662372,0.000392,8IZ7fkXm0FDeUdEuJAqSlA,pedestrian,32.761047,6.407948,32.405234,7.257918,0.921439,0.000000
7,28,2.800,1552440199.761980,1552440199.762434,0.000454,8IZ7fkXm0FDeUdEuJAqSlA,pedestrian,33.799179,6.659345,32.405258,7.258122,1.517086,0.000000
7,28,2.800,1552440199.761980,1552440199.762434,0.000454,l9f--u5kPKABASTzvy9Nug,pedestrian,33.799179,6.659345,36.700583,5.975755,2.980845,0.000000
7,29,2.900,1552440199.861980,1552440199.862453,0.000473,8IZ7fkXm0FDeUdEuJAqSlA,pedestrian,34.836674,6.913387,32.405073,7.257831,2.455875,0.000000
7,29,2.900,1552440199.861980,1552440199.862453,0.000473,l9f--u5kPKABASTzvy9Nug,pedestrian,34.836674,6.913387,36.573199,5.972841,1.974879,0.000000
7,30,3.000,1552440199.961980,1552440199.962467,0.000487,L5HBM5tSKtNA4qHegDQk8Q,pedestrian,35.873428,7.170371,38.138386,9.192089,3.036013,0.000000
7,30,3.000,1552440199.961980,1552440199.962467,0.000487,l9f--u5kPKABASTzvy9Nug,pedestrian,35.873428,7.170371,36.446154,5.970605,1.329456,0.000000
7,31,3.100,1552440200.061980,1552440200.062459,0.000479,L5HBM5tSKtNA4qHegDQk8Q,pedestrian,36.909317,7.430506,38.151420,9.355835,2.291225,0.000000
7,31,3.100,1552440200.061980,1552440200.062459,0.000479,l9f--u5kPKABASTzvy9Nug,pedestrian,36.909317,7.430506,36.319132,5.968353,1.576771,0.000000
7,32,3.200,1552440200.161980,1552440200.162477,0.000497,l9f--u5kPKABASTzvy9Nug,pedestrian,37.944260,7.694149,36.191997,5.966409,2.460794,0.000000
8,25,2.500,1552440200.461536,1552440200.462525,0.000989,kXyEv2zRlXCiI09I_nYVDA,vehicle,16.282299,-2.336893,20.398026,1.087973,5.354336,0.000000
8,26,2.600,1552440200.561536,1552440200.562515,0.000979,kXyEv2zRlXCiI09I_nYVDA,vehicle,16.961988,-2.583502,20.411281,0.402631,4.562303,0.000000
8,27,2.700,1552440200.661536,1552440200.662540,0.001004,kXyEv2zRlXCiI09I_nYVDA,vehicle,17.651363,-2.839620,20.423225,-0.319617,3.746148,0.000000
8,28,2.800,1552440200.761536,1552440200.762574,0.001038,kXyEv2zRlXCiI09I_nYVDA,vehicle,18.350834,-3.104088,20.435535,-1.041909,2.932330,0.000000
8,29,2.900,1552440200.861536,1552440200.862590,0.001054,kXyEv2zRlXCiI09I_nYVDA,vehicle,19.060913,-3.375928,20.447297,-1.764294,2.125894,0.000000
8,30,3.000,1552440200.961536,1552440200.962606,0.001070,kXyEv2zRlXCiI09I_nYVDA,vehicle,19.782166,-3.654203,20.459763,-2.486978,1.349649,0.000000
8,31,3.100,1552440201.061536,1552440201.062589,0.001053,kXyEv2zRlXCiI09I_nYVDA,vehicle,20.515062,-3.937864,20.473272,-3.209691,0.729371,0.000000
8,32,3.200,1552440201.161536,1552440201.162602,0.001066,kXyEv2zRlXCiI09I_nYVDA,vehicle,21.259819,-4.225915,20.486432,-3.932460,0.827191,0.000000
8,33,3.300,1552440201.261536,1552440201.262585,0.001049,kXyEv2zRlXCiI09I_nYVDA,vehicle,22.016642,-4.517508,20.498175,-4.654943,1.524673,0.000000
8,34,3.400,1552440201.361536,1552440201.362569,0.001033,kXyEv2zRlXCiI09I_nYVDA,vehicle,22.786110,-4.811897,20.509958,-5.376746,2.345191,0.000000
8,35,3.500,1552440201.461536,1552440201.462555,0.001019,kXyEv2zRlXCiI09I_nYVDA,vehicle,23.569244,-5.108461,20.522444,-6.098677,3.203673,0.000000
8,36,3.600,1552440201.561536,1552440201.562537,0.001001,kXyEv2zRlXCiI09I_nYVDA,vehicle,24.367306,-5.406707,20.534763,-6.884400,4.107550,0.000000
8,45,4.500,1552440202.461536,1552440202.462481,0.000945,3mqY30kFisxCydiO2pKjPA,pedestrian,32.341373,-8.051091,34.629871,-7.411429,2.376213,0.000000
8,46,4.600,1552440202.561536,1552440202.562499,0.000963,3mqY30kFisxCydiO2pKjPA,pedestrian,33.297379,-8.319649,34.631330,-7.561144,1.534521,0.000000
8,47,4.700,1552440202.661536,1552440202.662482,0.000946,3mqY30kFisxCydiO2pKjPA,pedestrian,34.259106,-8.579185,34.633078,-7.710599,0.945673,0.000000
8,48,4.800,1552440202.761536,1552440202.762508,0.000972,3mqY30kFisxCydiO2pKjPA,pedestrian,35.224922,-8.829670,34.634627,-7.860368,1.134899,0.000000
8,49,4.900,1552440202.861536,1552440202.862531,0.000995,3mqY30kFisxCydiO2pKjPA,pedestrian,36.193031,-9.071320,34.636181,-8.010048,1.884166,0.000000
8,50,5.000,1552440202.961536,1552440202.962549,0.001013,3mqY30kFisxCydiO2pKjPA,pedestrian,37.161644,-9.304377,34.637735,-8.159722,2.771345,0.000000
8,50,5.000,1552440202.961536,1552440202.962549,0.001013,zW21zQ-BE0degWh8LKLVXw,vehicle,37.161644,-9.304377,39.536446,-9.039192,2.389562,0.000000
8,51,5.100,1552440203.061536,1552440203.062567,0.001031,YZp0XjCF9MO6a2x7szWEXA,vehicle,38.129734,-9.529613,41.848822,-9.101982,3.743593,0.000000
8,51,5.100,1552440203.061536,1552440203.062567,0.001031,zW21zQ-BE0degWh8LKLVXw,vehicle,38.129734,-9.529613,39.536381,-9.039181,1.489691,0.000000
8,52,5.200,1552440203.161536,1552440203.162558,0.001022,YZp0XjCF9MO6a2x7szWEXA,vehicle,39.097359,-9.748346,41.848822,-9.101982,2.826365,0.000000
8,52,5.200,1552440203.161536,1552440203.162558,0.001022,zW21zQ-BE0degWh8LKLVXw,vehicle,39.097359,-9.748346,39.536382,-9.039177,0.834064,0.000000
8,53,5.300,1552440203.261536,1552440203.262548,0.001012,YZp0XjCF9MO6a2x7szWEXA,vehicle,40.064888,-9.961771,41.848827,-9.101903,1.980356,0.000000
8,53,5.300,1552440203.261536,1552440203.262548,0.001012,zW21zQ-BE0degWh8LKLVXw,vehicle,40.064888,-9.961771,39.536387,-9.039116,1.063300,0.000000
8,54,5.400,1552440203.361536,1552440203.362569,0.001033,YZp0XjCF9MO6a2x7szWEXA,vehicle,41.032234,-10.170753,41.848914,-9.101930,1.345121,0.000000
8,54,5.400,1552440203.361536,1552440203.362569,0.001033,zW21zQ-BE0degWh8LKLVXw,vehicle,41.032234,-10.170753,39.536454,-9.039118,1.875622,0.000000
8,55,5.500,1552440203.461536,1552440203.462559,0.001023,AWjsPzPKZ7MTv8Ta3AXBbQ,vehicle,41.998707,-10.375847,46.403896,-9.191053,4.561735,0.000000
8,55,5.500,1552440203.461536,1552440203.462559,0.001023,YZp0XjCF9MO6a2x7szWEXA,vehicle,41.998707,-10.375847,41.848910,-9.102008,1.282616,0.000000
8,55,5.500,1552440203.461536,1552440203.462559,0.001023,zW21zQ-BE0degWh8LKLVXw,vehicle,41.998707,-10.375847,39.536452,-9.039169,2.801679,0.000000
8,56,5.600,1552440203.561536,1552440203.562534,0.000998,AWjsPzPKZ7MTv8Ta3AXBbQ,vehicle,42.963417,-10.577530,46.403896,-9.191053,3.709341,0.000000
8,56,5.600,1552440203.561536,1552440203.562534,0.000998,YZp0XjCF9MO6a2x7szWEXA,vehicle,42.963417,-10.577530,41.848910,-9.102008,1.849132,0.000000
8,57,5.700,1552440203.661536,1552440203.662526,0.000990,AWjsPzPKZ7MTv8Ta3AXBbQ,vehicle,43.925835,-10.776245,46.403901,-9.190976,2.941749,0.000000
8,57,5.700,1552440203.661536,1552440203.662526,0.000990,YZp0XjCF9MO6a2x7szWEXA,vehicle,43.925835,-10.776245,41.848914,-9.101930,2.667758,0.000000
8,58,5.800,1552440203.761536,1552440203.762549,0.001013,AWjsPzPKZ7MTv8Ta3AXBbQ,vehicle,44.886162,-10.972404,46.403901,-9.190976,2.340303,0.000000
8,58,5.800,1552440203.761536,1552440203.762549,0.001013,YZp0XjCF9MO6a2x7szWEXA,vehicle,44.886162,-10.972404,41.848914,-9.101930,3.567008,0.000000
