run,idx,ros_stamp_s,camera_rows_matched,odom_minus_camera_stamp_mean_s,odom_minus_camera_stamp_min_s,odom_minus_camera_stamp_max_s,camera_staleness_mean_s,camera_staleness_max_s,selected_count_min,buffer_len_max,received_count_max
diffusion_matched/mcity_diff10,0,1545235952.923106,1,-0.011394,-0.011394,-0.011394,0.000000,0.000000,4,12,62
diffusion_matched/mcity_diff10,1,1545235954.923095,1,-0.009954,-0.009954,-0.009954,0.000000,0.000000,4,12,82
diffusion_matched/mcity_diff10,2,1545235956.923071,1,-0.008010,-0.008010,-0.008010,0.000000,0.000000,4,12,102
diffusion_matched/mcity_diff10,3,1545235959.923032,1,-0.005333,-0.005333,-0.005333,0.000000,0.000000,4,12,132
diffusion_matched/mcity_diff10,4,1545235962.923022,1,-0.002580,-0.002580,-0.002580,0.000000,0.000000,4,12,162
diffusion_matched/mcity_diff10,5,1545235964.882997,1,-0.040493,-0.040493,-0.040493,0.000000,0.000000,4,12,182
diffusion_matched/mcity_diff10,6,1545235966.923059,1,0.000976,0.000976,0.000976,0.000000,0.000000,4,12,202
diffusion_matched/mcity_diff10,7,1545235968.883028,1,-0.037177,-0.037177,-0.037177,0.000000,0.000000,4,12,222
diffusion_matched/mcity_diff10,8,1545235970.882940,1,-0.035047,-0.035047,-0.035047,0.000000,0.000000,4,12,242
diffusion_matched/mcity_diff10,9,1545235972.903028,1,-0.013521,-0.013521,-0.013521,0.000000,0.000000,4,12,262
diffusion_matched/mcity_diff10,10,1545235974.902918,1,-0.011719,-0.011719,-0.011719,0.000000,0.000000,4,12,282
diffusion_matched/mcity_diff10,11,1545235976.922934,1,0.010491,0.010491,0.010491,0.000000,0.000000,4,12,302
diffusion_matched/mcity_diff10,12,1545235978.882946,1,-0.028056,-0.028056,-0.028056,0.000000,0.000000,4,12,322
diffusion_matched/mcity_diff10,13,1545235983.902869,1,-0.003500,-0.003500,-0.003500,0.000000,0.000000,4,12,372
diffusion_matched/mcity_diff10,14,1545235985.902844,1,-0.001328,-0.001328,-0.001328,0.000000,0.000000,4,12,392
diffusion_matched/mcity_diff10,15,1545235989.902864,1,-0.097508,-0.097508,-0.097508,0.000000,0.000000,4,12,433
diffusion_matched/mcity_diff10,16,1545235991.902853,1,-0.096067,-0.096067,-0.096067,0.000000,0.000000,4,12,453
diffusion_matched/mcity_diff10,17,1545235993.922772,1,-0.073977,-0.073977,-0.073977,0.000000,0.000000,4,12,473
diffusion_matched/mcity_diff10,18,1545235995.922783,1,-0.072162,-0.072162,-0.072162,0.000000,0.000000,4,12,493
diffusion_matched/mcity_diff10,19,1545235997.882877,1,-0.110546,-0.110546,-0.110546,0.000000,0.000000,4,12,513
diffusion_matched/mcity_diff10,20,1545235999.882800,1,-0.108406,-0.108406,-0.108406,0.000000,0.000000,4,12,533
diffusion_matched/mcity_diff10,21,1545236001.922702,1,-0.066733,-0.066733,-0.066733,0.000000,0.000000,4,12,553
diffusion_matched/mcity_diff10,22,1545236003.902715,1,-0.085144,-0.085144,-0.085144,0.000000,0.000000,4,12,573
diffusion_matched/mcity_diff10,23,1545236007.882821,1,-0.101068,-0.101068,-0.101068,0.000000,0.000000,4,12,613
diffusion_matched/mcity_diff10,24,1545236009.902685,1,-0.079713,-0.079713,-0.079713,0.000000,0.000000,4,12,633
