run,max_gen_len,diff_steps,rate,n_inferences,camera_counts,camera_clean,trajectory_messages,wall_span_s,sim_span_s,wall_inference_fps,sim_inference_fps,wall_interval_mean_s,wall_interval_median_s,sim_interval_mean_s,sim_interval_median_s,model_duration_mean_s,model_duration_std_s,odom_minus_camera_stamp_mean_s,odom_minus_camera_stamp_median_s,odom_minus_camera_stamp_min_s,odom_minus_camera_stamp_max_s,camera_staleness_max_s
diffusion_matched/mcity_diff10,64,10,0.5,131,2648,1,131,516.000195,255.778068,0.251938,0.508253,3.969232,3.999967,1.967524,1.999983,2.642695,1.120464,-0.065562,-0.044623,-2.296387,0.016549,0.000000
diffusion_matched/mcity_diff2,64,2,0.5,200,2648,1,200,516.000147,255.778068,0.385659,0.778018,2.592966,2.000066,1.285317,1.000067,2.005051,0.960682,-0.062197,-0.041462,-2.296387,0.022934,0.000000
diffusion_matched/mcity_diff5,64,5,0.5,156,2649,1,156,514.000181,255.778068,0.301556,0.605994,3.316130,3.999838,1.650181,1.960094,2.260104,0.868138,-0.056904,-0.046479,-1.197754,0.016549,0.000000
diffusion_matched/waymo_diff10,64,10,0.1,43,198/198/199/198,0,43,180.999948,18.100556,0.232044,2.320371,4.309523,4.000026,0.430966,0.400010,3.663004,0.946363,0.000000,0.000000,0.000000,0.000000,0.000000
diffusion_matched/waymo_diff2,64,2,0.1,45,199/199/199/199,1,45,182.000014,18.200468,0.241758,2.417520,4.136364,4.000031,0.413647,0.400015,3.551934,0.296209,0.000000,0.000000,0.000000,0.000000,0.000000
diffusion_matched/waymo_diff5,64,5,0.1,46,199/199/199/199,1,46,181.000231,18.100450,0.248618,2.486126,4.022227,4.000000,0.402232,0.400009,3.498267,0.585714,0.000000,0.000000,0.000000,0.000000,0.000000
exp/diff10,64,10,0.1,12,,,,110.000047,11.000009,0.100000,0.999999,10.000004,10.000014,1.000001,0.999996,4.423112,0.600578,,,,,
exp/diff2,64,2,0.1,12,,,,109.999861,11.000009,0.100000,0.999999,9.999987,10.000008,1.000001,0.999996,3.749009,0.621209,,,,,
exp/diff5,64,5,0.1,12,,,,110.000300,11.000009,0.100000,0.999999,10.000027,10.000032,1.000001,0.999996,3.978312,0.614885,,,,,
exp/tok16,16,5,0.1,12,,,,109.999984,11.000009,0.100000,0.999999,9.999999,9.999989,1.000001,0.999996,3.945525,0.423549,,,,,
exp/tok32,32,5,0.1,12,,,,110.000004,11.000009,0.100000,0.999999,10.000000,9.999986,1.000001,0.999996,3.947020,0.609388,,,,,
exp/tok64,64,5,0.1,12,,,,110.000039,11.000009,0.100000,0.999999,10.000004,10.000029,1.000001,0.999996,4.187127,0.688648,,,,,
exp_clean/tok16,16,5,0.1,12,199/193/179/199,0,12,109.999984,11.000009,0.100000,0.999999,9.999999,10.000021,1.000001,0.999996,3.957509,0.353724,,,,,
exp_clean/tok32,32,5,0.1,12,199/187/172/199,0,12,110.000051,11.000009,0.100000,0.999999,10.000005,9.999944,1.000001,0.999996,3.962513,0.607248,,,,,
