dataset,idx,prompt_kv_seq_len,prefill_P,generated_tokens,kv_capacity_mib,kv_capacity_mib_measured,model_duration_s,kv_decode_read_gb,weight_decode_read_gb,kv_share_of_decode_read_pct
MCity,0,838,827,11,117.844,117.84375,2.2109,1.3503,180.4,0.743
MCity,1,845,827,18,118.828,118.828125,2.5364,2.2189,295.2,0.746
MCity,2,868,827,41,122.062,122.0625,5.1364,5.1237,672.4,0.756
MCity,3,857,827,30,120.516,120.515625,3.8948,3.7247,492.0,0.751
MCity,4,840,827,13,118.125,118.125,1.9722,1.5978,213.2,0.744
MCity,5,843,827,16,118.547,118.546875,2.3124,1.97,262.4,0.745
MCity,6,847,827,20,119.109,119.109375,2.7587,2.4684,328.0,0.747
MCity,7,838,827,11,117.844,117.84375,1.7585,1.3503,180.4,0.743
MCity,8,840,827,13,118.125,118.125,1.981,1.5978,213.2,0.744
MCity,9,843,827,16,118.547,118.546875,2.3129,1.97,262.4,0.745
MCity,10,842,827,15,118.406,118.40625,2.1897,1.8458,246.0,0.745
MCity,11,846,827,19,118.969,118.96875,2.6627,2.3436,311.6,0.747
MCity,12,891,827,64,125.297,125.296875,7.6771,8.1065,1049.6,0.766
MCity,13,843,827,16,118.547,118.546875,2.3018,1.97,262.4,0.745
MCity,14,849,827,22,119.391,119.390625,2.9611,2.7185,360.8,0.748
MCity,15,865,827,38,121.641,121.640625,4.765,4.7404,623.2,0.755
MCity,16,838,827,11,117.844,117.84375,1.7527,1.3503,180.4,0.743
MCity,17,836,827,9,117.562,117.5625,1.5298,1.1035,147.6,0.742
MCity,18,846,827,19,118.969,118.96875,2.6544,2.3436,311.6,0.747
MCity,19,833,827,6,117.141,117.140625,1.1976,0.7343,98.4,0.741
MCity,20,846,827,19,118.969,118.96875,2.6466,2.3436,311.6,0.747
MCity,21,838,827,11,117.844,117.84375,1.7574,1.3503,180.4,0.743
MCity,22,861,827,34,121.078,121.078125,4.3076,4.2314,557.6,0.753
MCity,23,844,827,17,118.688,118.6875,2.3909,2.0944,278.8,0.746
MCity,24,891,827,64,125.297,125.296875,7.684,8.1065,1049.6,0.766
MCity,25,837,827,10,117.703,117.703125,1.6385,1.2268,164.0,0.743
MCity,26,841,827,14,118.266,118.265625,2.0925,1.7217,229.6,0.744
MCity,27,837,827,10,117.703,117.703125,1.643,1.2268,164.0,0.743
MCity,28,837,827,10,117.703,117.703125,1.6403,1.2268,164.0,0.743
MCity,29,843,827,16,118.547,118.546875,2.2999,1.97,262.4,0.745
MCity,30,843,827,16,118.547,118.546875,2.287,1.97,262.4,0.745
MCity,31,848,827,21,119.25,119.25,2.8625,2.5934,344.4,0.747
MCity,32,842,827,15,118.406,118.40625,2.2074,1.8458,246.0,0.745
MCity,33,834,827,7,117.281,117.28125,1.3198,0.8572,114.8,0.741
MCity,34,843,827,16,118.547,118.546875,2.3045,1.97,262.4,0.745
MCity,35,840,827,13,118.125,118.125,1.9553,1.5978,213.2,0.744
MCity,36,843,827,16,118.547,118.546875,2.2855,1.97,262.4,0.745
MCity,37,842,827,15,118.406,118.40625,2.1678,1.8458,246.0,0.745
MCity,38,843,827,16,118.547,118.546875,2.2871,1.97,262.4,0.745
MCity,39,838,827,11,117.844,117.84375,1.7352,1.3503,180.4,0.743
MCity,40,871,827,44,122.484,122.484375,5.3537,5.5084,721.6,0.758
MCity,41,845,827,18,118.828,118.828125,2.5,2.2189,295.2,0.746
MCity,42,852,827,25,119.812,119.8125,3.2505,3.0947,410.0,0.749
MCity,43,842,827,15,118.406,118.40625,2.1625,1.8458,246.0,0.745
MCity,44,847,827,20,119.109,119.109375,2.7255,2.4684,328.0,0.747
MCity,45,844,827,17,118.688,118.6875,2.4371,2.0944,278.8,0.746
MCity,46,843,827,16,118.547,118.546875,2.3022,1.97,262.4,0.745
MCity,47,847,827,20,119.109,119.109375,2.7299,2.4684,328.0,0.747
MCity,48,877,827,50,123.328,123.328125,6.1143,6.2816,820.0,0.76
MCity,49,847,827,20,119.109,119.109375,2.7787,2.4684,328.0,0.747
MCity,50,845,827,18,118.828,118.828125,2.5403,2.2189,295.2,0.746
MCity,51,839,827,12,117.984,117.984375,1.8684,1.474,196.8,0.743
MCity,52,841,827,14,118.266,118.265625,2.0904,1.7217,229.6,0.744
MCity,53,845,827,18,118.828,118.828125,2.5432,2.2189,295.2,0.746
MCity,54,843,827,16,118.547,118.546875,2.3141,1.97,262.4,0.745
MCity,55,844,827,17,118.688,118.6875,2.4418,2.0944,278.8,0.746
MCity,56,841,827,14,118.266,118.265625,2.0927,1.7217,229.6,0.744
MCity,57,836,827,9,117.562,117.5625,1.5085,1.1035,147.6,0.742
MCity,58,843,827,16,118.547,118.546875,2.2679,1.97,262.4,0.745
MCity,59,844,827,17,118.688,118.6875,2.3772,2.0944,278.8,0.746
MCity,60,844,827,17,118.688,118.6875,2.4274,2.0944,278.8,0.746
MCity,61,843,827,16,118.547,118.546875,2.3022,1.97,262.4,0.745
MCity,62,839,827,12,117.984,117.984375,1.8507,1.474,196.8,0.743
MCity,63,847,827,20,119.109,119.109375,2.7257,2.4684,328.0,0.747
MCity,64,845,827,18,118.828,118.828125,2.5014,2.2189,295.2,0.746
MCity,65,840,827,13,118.125,118.125,1.9523,1.5978,213.2,0.744
MCity,66,844,827,17,118.688,118.6875,2.3978,2.0944,278.8,0.746
MCity,67,846,827,19,118.969,118.96875,2.6048,2.3436,311.6,0.747
MCity,68,844,827,17,118.688,118.6875,2.3939,2.0944,278.8,0.746
MCity,69,849,827,22,119.391,119.390625,2.9522,2.7185,360.8,0.748
MCity,70,844,827,17,118.688,118.6875,2.3889,2.0944,278.8,0.746
MCity,71,844,827,17,118.688,118.6875,2.4081,2.0944,278.8,0.746
MCity,72,859,827,32,120.797,120.796875,4.0421,3.9778,524.8,0.752
MCity,73,874,827,47,122.906,122.90625,5.9031,5.8943,770.8,0.759
MCity,74,840,827,13,118.125,118.125,1.9906,1.5978,213.2,0.744
MCity,75,844,827,17,118.688,118.6875,2.4289,2.0944,278.8,0.746
MCity,76,846,827,19,118.969,118.96875,2.7063,2.3436,311.6,0.747
MCity,77,840,827,13,118.125,118.125,1.9788,1.5978,213.2,0.744
MCity,78,838,827,11,117.844,117.84375,1.752,1.3503,180.4,0.743
MCity,79,849,827,22,119.391,119.390625,2.9872,2.7185,360.8,0.748
MCity,80,847,827,20,119.109,119.109375,2.7664,2.4684,328.0,0.747
MCity,81,844,827,17,118.688,118.6875,2.4259,2.0944,278.8,0.746
MCity,82,845,827,18,118.828,118.828125,2.5411,2.2189,295.2,0.746
MCity,83,841,827,14,118.266,118.265625,2.0761,1.7217,229.6,0.744
MCity,84,838,827,11,117.844,117.84375,1.768,1.3503,180.4,0.743
MCity,85,847,827,20,119.109,119.109375,2.7629,2.4684,328.0,0.747
MCity,86,844,827,17,118.688,118.6875,2.4765,2.0944,278.8,0.746
MCity,87,838,827,11,117.844,117.84375,1.7594,1.3503,180.4,0.743
MCity,88,844,827,17,118.688,118.6875,2.4426,2.0944,278.8,0.746
MCity,89,843,827,16,118.547,118.546875,2.3279,1.97,262.4,0.745
MCity,90,838,827,11,117.844,117.84375,1.759,1.3503,180.4,0.743
MCity,91,844,827,17,118.688,118.6875,2.4396,2.0944,278.8,0.746
MCity,92,841,827,14,118.266,118.265625,2.1019,1.7217,229.6,0.744
MCity,93,844,827,17,118.688,118.6875,2.4263,2.0944,278.8,0.746
MCity,94,840,827,13,118.125,118.125,1.9825,1.5978,213.2,0.744
MCity,95,844,827,17,118.688,118.6875,2.4276,2.0944,278.8,0.746
MCity,96,855,827,28,120.234,120.234375,3.6198,3.4723,459.2,0.75
MCity,97,843,827,16,118.547,118.546875,2.2904,1.97,262.4,0.745
MCity,98,843,827,16,118.547,118.546875,2.3185,1.97,262.4,0.745
MCity,99,842,827,15,118.406,118.40625,2.1942,1.8458,246.0,0.745
MCity,100,843,827,16,118.547,118.546875,2.3036,1.97,262.4,0.745
MCity,101,848,827,21,119.25,119.25,2.8926,2.5934,344.4,0.747
MCity,102,848,827,21,119.25,119.25,2.8723,2.5934,344.4,0.747
MCity,103,844,827,17,118.688,118.6875,2.4314,2.0944,278.8,0.746
MCity,104,891,827,64,125.297,125.296875,7.7,8.1065,1049.6,0.766
MCity,105,842,827,15,118.406,118.40625,2.2119,1.8458,246.0,0.745
MCity,106,841,827,14,118.266,118.265625,2.0903,1.7217,229.6,0.744
MCity,107,841,827,14,118.266,118.265625,2.0671,1.7217,229.6,0.744
MCity,108,844,827,17,118.688,118.6875,2.4406,2.0944,278.8,0.746
MCity,109,846,827,19,118.969,118.96875,2.6637,2.3436,311.6,0.747
MCity,110,844,827,17,118.688,118.6875,2.421,2.0944,278.8,0.746
MCity,111,843,827,16,118.547,118.546875,2.3254,1.97,262.4,0.745
MCity,112,843,827,16,118.547,118.546875,2.322,1.97,262.4,0.745
MCity,113,841,827,14,118.266,118.265625,2.0954,1.7217,229.6,0.744
MCity,114,836,827,9,117.562,117.5625,1.534,1.1035,147.6,0.742
MCity,115,844,827,17,118.688,118.6875,2.4291,2.0944,278.8,0.746
MCity,116,839,827,12,117.984,117.984375,1.874,1.474,196.8,0.743
MCity,117,842,827,15,118.406,118.40625,2.2092,1.8458,246.0,0.745
MCity,118,843,827,16,118.547,118.546875,2.3219,1.97,262.4,0.745
MCity,119,849,827,22,119.391,119.390625,2.9873,2.7185,360.8,0.748
MCity,120,844,827,17,118.688,118.6875,2.4328,2.0944,278.8,0.746
MCity,121,841,827,14,118.266,118.265625,2.092,1.7217,229.6,0.744
MCity,122,845,827,18,118.828,118.828125,2.5321,2.2189,295.2,0.746
MCity,123,843,827,16,118.547,118.546875,2.3092,1.97,262.4,0.745
MCity,124,841,827,14,118.266,118.265625,2.0883,1.7217,229.6,0.744
MCity,125,841,827,14,118.266,118.265625,2.0923,1.7217,229.6,0.744
MCity,126,840,827,13,118.125,118.125,1.9888,1.5978,213.2,0.744
MCity,127,843,827,16,118.547,118.546875,2.3229,1.97,262.4,0.745
MCity,128,843,827,16,118.547,118.546875,2.3164,1.97,262.4,0.745
MCity,129,843,827,16,118.547,118.546875,2.3356,1.97,262.4,0.745
MCity,130,843,827,16,118.547,118.546875,2.3101,1.97,262.4,0.745
MCity,131,843,827,16,118.547,118.546875,2.3126,1.97,262.4,0.745
MCity,132,843,827,16,118.547,118.546875,2.3092,1.97,262.4,0.745
MCity,133,838,827,11,117.844,117.84375,1.7651,1.3503,180.4,0.743
MCity,134,843,827,16,118.547,118.546875,2.3231,1.97,262.4,0.745
MCity,135,843,827,16,118.547,118.546875,2.3107,1.97,262.4,0.745
MCity,136,843,827,16,118.547,118.546875,2.2973,1.97,262.4,0.745
Waymo,0,3081,3072,9,433.266,433.265625,4.0853,4.0828,147.6,2.692
Waymo,1,3086,3072,14,433.969,433.96875,3.9412,6.3562,229.6,2.694
Waymo,2,3082,3072,10,433.406,433.40625,3.4746,4.5372,164.0,2.692
Waymo,3,3084,3072,12,433.688,433.6875,3.6868,5.4464,196.8,2.693
Waymo,4,3082,3072,10,433.406,433.40625,3.4634,4.5372,164.0,2.692
Waymo,5,3081,3072,9,433.266,433.265625,3.3522,4.0828,147.6,2.692
Waymo,6,3081,3072,9,433.266,433.265625,3.3607,4.0828,147.6,2.692
Waymo,7,3084,3072,12,433.688,433.6875,3.6993,5.4464,196.8,2.693
Waymo,8,3087,3072,15,434.109,434.109375,4.0574,6.8114,246.0,2.694
Waymo,9,3087,3072,15,434.109,434.109375,3.9963,6.8114,246.0,2.694
Waymo,10,3108,3072,36,437.062,437.0625,6.4029,16.403,590.4,2.703
Waymo,11,3081,3072,9,433.266,433.265625,3.3335,4.0828,147.6,2.692
Waymo,12,3087,3072,15,434.109,434.109375,3.982,6.8114,246.0,2.694
Waymo,13,3081,3072,9,433.266,433.265625,3.3535,4.0828,147.6,2.692
Waymo,14,3081,3072,9,433.266,433.265625,3.3526,4.0828,147.6,2.692
Waymo,15,3082,3072,10,433.406,433.40625,3.4656,4.5372,164.0,2.692
Waymo,16,3081,3072,9,433.266,433.265625,3.3607,4.0828,147.6,2.692
Waymo,17,3081,3072,9,433.266,433.265625,3.3539,4.0828,147.6,2.692
Waymo,18,3081,3072,9,433.266,433.265625,3.359,4.0828,147.6,2.692
Waymo,19,3081,3072,9,433.266,433.265625,3.2686,4.0828,147.6,2.692
Waymo,20,3083,3072,11,433.547,433.546875,3.5206,4.9918,180.4,2.693
Waymo,21,3081,3072,9,433.266,433.265625,3.2633,4.0828,147.6,2.692
Waymo,22,3084,3072,12,433.688,433.6875,3.6663,5.4464,196.8,2.693
Waymo,23,3081,3072,9,433.266,433.265625,3.3377,4.0828,147.6,2.692
Waymo,24,3085,3072,13,433.828,433.828125,3.8174,5.9013,213.2,2.693
Waymo,25,3095,3072,23,435.234,435.234375,4.9845,10.4577,377.2,2.698
Waymo,26,3081,3072,9,433.266,433.265625,3.3507,4.0828,147.6,2.692
