frame,t_s,gen_tokens,diff_steps,traj_points,vision_ms,prefill_ms,reason_ms,per_token_ms,diff_ms,stage_sum_ms,frame_span_ms,overhead_ms,gpu_busy_ms,gpu_util_pct,gap_next_s
0,0.0,12,5,64,1125.8,1016.8,1083.1,90.3,450.0,3675.6,5353.4,1677.7,2930.3,54.7,0.25
1,5.6,8,5,64,775.8,768.7,729.2,91.2,446.3,2720.1,3899.9,1179.8,2493.8,63.9,2.15
2,11.65,8,5,64,827.7,762.7,508.0,63.5,423.4,2521.8,3854.8,1333.0,2359.7,61.2,10.04
3,25.54,24,5,64,859.4,771.7,2023.5,84.3,429.2,4083.9,5963.5,1879.6,3755.6,63.0,1.7
4,33.2,8,5,64,846.2,762.6,703.2,87.9,432.6,2744.6,3915.3,1170.7,2530.7,64.6,1.06
5,38.18,45,5,64,758.6,773.2,4053.9,90.1,436.0,6021.7,8667.7,2646.0,5480.7,63.2,2.04
6,48.88,13,5,64,869.8,763.6,1175.5,90.4,432.0,3241.0,4635.3,1394.3,2976.6,64.2,1.34
7,54.86,21,5,64,837.5,770.3,1902.9,90.6,436.3,3947.1,5618.0,1670.9,3608.9,64.2,0.35
8,60.83,12,5,64,755.4,762.7,1085.3,90.4,397.8,3001.1,4209.4,1208.3,2799.7,66.5,1.82
9,66.86,18,5,64,795.6,697.1,1318.1,73.2,423.6,3234.5,5038.9,1804.4,2979.4,59.1,24.62
10,96.51,8,5,64,845.6,779.0,675.0,84.4,431.1,2730.7,3974.9,1244.2,2551.2,64.2,1.99
11,102.47,15,5,64,852.6,781.4,1261.6,84.1,427.7,3323.2,4884.5,1561.3,3067.1,62.8,1.08
12,108.43,11,5,64,739.5,760.2,896.1,81.5,399.1,2794.9,3982.4,1187.5,2588.5,65.0,2.05
13,114.47,15,5,64,877.9,775.6,1304.5,87.0,438.4,3396.4,4879.1,1482.7,3118.5,63.9,1.08
14,120.43,12,5,64,791.1,768.7,1040.0,86.7,432.3,3032.1,4409.5,1377.4,2799.4,63.5,1.63
15,126.47,8,5,64,833.6,770.4,704.6,88.1,428.5,2737.1,3931.1,1194.0,2545.2,64.7,2.07
16,132.47,13,5,64,822.5,753.4,827.0,63.6,427.9,2830.9,4437.2,1606.3,2640.7,59.5,63.0
17,199.91,12,5,64,870.7,774.6,1158.2,96.5,429.8,3233.3,4536.6,1303.3,2982.3,65.7,1.44
18,205.89,18,5,64,854.3,766.4,1647.3,91.5,441.9,3709.8,5300.5,1590.6,3410.5,64.3,0.67
19,211.86,10,5,64,773.8,774.8,907.7,90.8,447.0,2903.2,4153.1,1249.9,2682.5,64.6,1.9
20,217.91,8,5,64,839.2,770.6,721.6,90.2,435.1,2766.5,3967.3,1200.7,2573.5,64.9,2.01
21,223.88,14,5,64,850.9,772.9,1223.2,87.4,455.0,3302.0,4693.6,1391.6,3039.2,64.8,1.27
22,229.85,8,5,64,736.3,750.3,545.0,68.1,410.0,2441.5,3674.1,1232.5,2272.0,61.8,0.37
23,233.89,12,5,64,745.3,799.5,1027.9,85.7,425.7,2998.4,4410.2,1411.8,2801.9,63.5,0.0
