frame,t_s,vision_ms,prefill_ms,reason_ms,tokens,diff_ms,diff_steps,stage_sum_ms,span_ms
0,0.0,1125.8,1016.8,1083.1,12,450.0,5,3675.6,5353.4
1,5.6,775.8,768.7,729.2,8,446.3,5,2720.1,3899.9
2,11.65,827.7,762.7,508.0,8,423.4,5,2521.8,3854.8
3,25.54,859.4,771.7,2023.5,24,429.2,5,4083.9,5963.5
4,33.2,846.2,762.6,703.2,8,432.6,5,2744.6,3915.3
5,38.18,758.6,773.2,4053.9,45,436.0,5,6021.7,8667.7
6,48.88,869.8,763.6,1175.5,13,432.0,5,3241.0,4635.3
7,54.86,837.5,770.3,1902.9,21,436.3,5,3947.1,5618.0
8,60.83,755.4,762.7,1085.3,12,397.8,5,3001.1,4209.4
9,66.86,795.6,697.1,1318.1,18,423.6,5,3234.5,5038.9
10,96.51,845.6,779.0,675.0,8,431.1,5,2730.7,3974.9
11,102.47,852.6,781.4,1261.6,15,427.7,5,3323.2,4884.5
12,108.43,739.5,760.2,896.1,11,399.1,5,2794.9,3982.4
13,114.47,877.9,775.6,1304.5,15,438.4,5,3396.4,4879.1
14,120.43,791.1,768.7,1040.0,12,432.3,5,3032.1,4409.5
15,126.47,833.6,770.4,704.6,8,428.5,5,2737.1,3931.1
16,132.47,822.5,753.4,827.0,13,427.9,5,2830.9,4437.2
17,199.91,870.7,774.6,1158.2,12,429.8,5,3233.3,4536.6
18,205.89,854.3,766.4,1647.3,18,441.9,5,3709.8,5300.5
19,211.86,773.8,774.8,907.7,10,447.0,5,2903.2,4153.1
20,217.91,839.2,770.6,721.6,8,435.1,5,2766.5,3967.3
21,223.88,850.9,772.9,1223.2,14,455.0,5,3302.0,4693.6
22,229.85,736.3,750.3,545.0,8,410.0,5,2441.5,3674.1
23,233.89,745.3,799.5,1027.9,12,425.7,5,2998.4,4410.2
