run,rail,n_power_samples,n_inferences,overall_mean_w,overall_p95_w,overall_peak_w,active_mean_w,active_p95_w,active_peak_w
diffusion_matched/mcity_diff10,vdd_gpu_w,117123,131,16.5465,29.1146,40.9011,21.5325,30.3072,40.9011
diffusion_matched/mcity_diff10,vdd_cpu_soc_mss_w,117123,131,14.0948,19.2864,27.1694,16.6334,19.2864,27.1694
diffusion_matched/mcity_diff10,vin_sys_5v0_w,117123,131,12.2489,17.2992,17.7341,14.9162,17.4010,17.7341
diffusion_matched/mcity_diff10,total_w,117123,131,52.8018,88.4440,122.7360,68.7739,91.4200,122.7360
diffusion_matched/mcity_diff10,module_sum_w,117123,131,42.8902,57.9914,75.2046,53.0822,59.8829,75.2046
diffusion_matched/mcity_diff2,vdd_gpu_w,116523,200,19.4058,33.4424,40.1309,23.4631,34.2293,40.1309
diffusion_matched/mcity_diff2,vdd_cpu_soc_mss_w,116523,200,15.8245,19.2864,21.2544,17.6922,19.2942,21.2544
diffusion_matched/mcity_diff2,vin_sys_5v0_w,116523,200,13.9733,17.7062,17.9098,15.8775,17.7062,17.9098
diffusion_matched/mcity_diff2,total_w,116523,200,59.6540,104.1200,124.6340,72.9755,107.5780,124.6340
diffusion_matched/mcity_diff2,module_sum_w,116523,200,49.2037,64.8704,76.1243,57.0328,66.0776,76.1243
diffusion_matched/mcity_diff5,vdd_gpu_w,116514,156,17.1066,30.2949,40.1309,22.2251,31.4752,40.1309
diffusion_matched/mcity_diff5,vdd_cpu_soc_mss_w,116514,156,14.4113,19.2864,19.6880,16.8483,19.2864,19.6880
diffusion_matched/mcity_diff5,vin_sys_5v0_w,116514,156,12.6207,17.5027,17.8080,15.1702,17.6045,17.8080
diffusion_matched/mcity_diff5,total_w,116514,156,54.1710,89.8260,123.3620,70.1009,92.3980,123.3620
diffusion_matched/mcity_diff5,module_sum_w,116514,156,44.1386,60.3680,74.4270,54.2435,62.7558,74.4270
diffusion_matched/waymo_diff10,vdd_gpu_w,49714,43,23.9298,49.9262,52.3062,32.3851,50.7125,52.3062
diffusion_matched/waymo_diff10,vdd_cpu_soc_mss_w,49714,43,14.8714,19.2864,19.6880,17.4472,19.2864,19.6880
diffusion_matched/waymo_diff10,vin_sys_5v0_w,49714,43,12.8795,17.5302,17.8360,15.5674,17.6322,17.8360
diffusion_matched/waymo_diff10,total_w,49714,43,62.1432,110.4460,137.0980,80.2535,115.3440,137.0980
diffusion_matched/waymo_diff10,module_sum_w,49714,43,51.6807,85.8523,89.1072,65.3997,86.7408,89.1072
diffusion_matched/waymo_diff2,vdd_gpu_w,49510,45,22.6605,42.4915,44.0832,30.2988,42.8850,44.0832
diffusion_matched/waymo_diff2,vdd_cpu_soc_mss_w,49510,45,14.1237,16.9248,18.5067,15.9933,17.3114,18.5067
diffusion_matched/waymo_diff2,vin_sys_5v0_w,49510,45,12.4492,15.8224,16.1286,14.7699,15.9245,16.1286
diffusion_matched/waymo_diff2,total_w,49510,45,59.4406,97.1400,115.0680,74.8919,99.5480,115.0680
diffusion_matched/waymo_diff2,module_sum_w,49510,45,49.2334,75.2387,77.1366,61.0620,75.3408,77.1366
diffusion_matched/waymo_diff5,vdd_gpu_w,49688,46,23.8195,48.7866,53.0928,32.0414,50.3194,53.0928
diffusion_matched/waymo_diff5,vdd_cpu_soc_mss_w,49688,46,14.9125,19.2864,20.0818,17.0411,19.2864,19.6880
diffusion_matched/waymo_diff5,vin_sys_5v0_w,49688,46,12.8944,17.4283,17.8360,15.4069,17.5302,17.8360
diffusion_matched/waymo_diff5,total_w,49688,46,62.0677,106.0080,135.9120,78.6708,111.8280,135.9120
diffusion_matched/waymo_diff5,module_sum_w,49688,46,51.6264,84.7600,89.8938,64.4895,86.2251,89.8938
exp/diff10,vdd_gpu_w,47975,12,11.2783,38.9506,43.6718,27.9212,42.4915,43.6718
exp/diff10,vdd_cpu_soc_mss_w,47975,12,10.1063,16.5312,17.3184,15.5771,16.9248,17.3184
exp/diff10,vin_sys_5v0_w,47975,12,8.5028,15.6182,16.0266,14.4418,15.8224,16.0266
exp/diff10,total_w,47975,12,38.5681,86.0100,113.5660,71.9716,97.3140,113.5660
exp/diff10,module_sum_w,47975,12,29.8874,70.6917,76.2296,57.9400,74.8451,76.2296
exp/diff2,vdd_gpu_w,47960,12,10.6856,38.5728,43.6718,28.8200,42.1152,43.6718
exp/diff2,vdd_cpu_soc_mss_w,47960,12,9.8322,16.5312,17.3254,15.4708,16.9248,17.3184
exp/diff2,vin_sys_5v0_w,47960,12,8.2550,15.5938,15.9245,14.3814,15.7203,15.9245
exp/diff2,total_w,47960,12,37.3623,85.7220,113.2260,73.1485,97.6340,113.2260
exp/diff2,module_sum_w,47960,12,28.7727,70.6054,76.1277,58.6722,74.6411,76.1277
exp/diff5,vdd_gpu_w,47954,12,10.9615,38.9506,43.6896,28.4647,42.4915,43.6896
exp/diff5,vdd_cpu_soc_mss_w,47954,12,9.9363,16.5312,17.7192,15.5230,16.9248,17.3184
exp/diff5,vin_sys_5v0_w,47954,12,8.3396,15.6957,15.9245,14.4295,15.8224,15.9245
exp/diff5,total_w,47954,12,37.8682,86.1840,112.5720,72.7498,97.4420,112.5720
exp/diff5,module_sum_w,47954,12,29.2373,70.6054,76.1453,58.4172,74.7603,76.1453
