clip_id,t0_us,chunk,a_v1_5_cot,b_v2_cot,tfidf_cosine,bert_cosine,a_v1_5_min_ade_m,b_v2_min_ade_m,a_v1_5_min_fde_m,b_v2_min_fde_m,a_v1_5_duration_sec,b_v2_duration_sec,a_v1_5_prefill_tokens,b_v2_prefill_tokens,a_v1_5_generated_tokens,b_v2_generated_tokens
5fa56c61-e8ed-4c0b-95dd-3e15c40d9f78,5100000,chunk_0251,Slow down due to the stopped lead vehicle blocking the lane,Decelerate to a stop due to the lead vehicle blocking the lane,0.45339122606577825,0.81606895,1.0364,1.3459,1.5057,2.0897,5.289,22.925,3073,4580,14,14
5fa56c61-e8ed-4c0b-95dd-3e15c40d9f78,6100000,chunk_0251,Yield due to workers blocking the lane ahead,Slow down due to a stopped garbage truck blocking the lane,0.17270867426612657,0.5019599,0.4087,0.6706,0.6783,0.7151,4.389,17.722,3073,4580,12,11
5fa56c61-e8ed-4c0b-95dd-3e15c40d9f78,7100000,chunk_0251,Slow down due to the stopped lead vehicle blocking the lane,Slow to a stop due to the lead vehicle blocking the lane.,0.5177191846930842,0.8930365,0.4276,0.1286,0.7534,0.1203,4.605,19.131,3073,4580,14,13
5fa56c61-e8ed-4c0b-95dd-3e15c40d9f78,8100000,chunk_0251,Yield to the stopped lead vehicle blocking the lane,Yield due to a worker blocking the lane ahead,0.29012164425859455,0.7264421,0.1237,0.0871,0.2705,0.252,4.477,17.413,3073,4580,13,10
5fa56c61-e8ed-4c0b-95dd-3e15c40d9f78,9100000,chunk_0251,Slow to a stop due to the lead vehicle blocking the lane,Yield due to a worker standing behind the truck blocking the lane,0.17498842058281103,0.4728713,0.0247,0.031,0.0161,0.1177,4.729,18.909,3073,4580,15,13
5fa56c61-e8ed-4c0b-95dd-3e15c40d9f78,10100000,chunk_0251,Stop due to the stationary truck blocking the lane,Yield due to the worker standing in the lane ahead,0.12813012557805767,0.48959446,0.0075,0.0025,0.0132,0.0128,4.39,17.852,3073,4580,12,11
5fa56c61-e8ed-4c0b-95dd-3e15c40d9f78,11100000,chunk_0251,Slow down due to the stopped lead vehicle blocking the lane,Yield due to a worker standing in the lane ahead,0.124027730726224,0.42200166,0.0061,0.0188,0.0199,0.0539,4.609,18.026,3073,4580,14,11
5fa56c61-e8ed-4c0b-95dd-3e15c40d9f78,12100000,chunk_0251,Stop due to the lead vehicle blocking the lane,Stop due to red traffic light,0.2707773968565075,0.5438286,0.0059,0.008,0.0161,0.0261,4.391,14.738,3073,4580,12,6
5fa56c61-e8ed-4c0b-95dd-3e15c40d9f78,13100000,chunk_0251,Stop due to the stopped lead vehicle blocking the lane,Yield due to a worker in the lane ahead.,0.15560123468240242,0.4496727,0.0041,0.0521,0.0118,0.4722,4.493,17.267,3073,4580,13,11
5fa56c61-e8ed-4c0b-95dd-3e15c40d9f78,14100000,chunk_0251,Yield due to a worker blocking the lane ahead,Yield due to a worker blocking the lane ahead,1.0,1.0,0.0039,0.0006,0.0119,0.0029,4.487,16.846,3073,4580,13,10
5fa56c61-e8ed-4c0b-95dd-3e15c40d9f78,15100000,chunk_0251,Yield due to a worker blocking the lane ahead,Yield due to a worker blocking the lane ahead,1.0,1.0,0.0019,0.0006,0.003,0.002,4.513,16.674,3073,4580,13,10
5fa56c61-e8ed-4c0b-95dd-3e15c40d9f78,16100000,chunk_0251,Stop due to the stopped lead vehicle blocking the lane,Stop due to a stopped lead vehicle blocking the lane.,0.8340631682520668,0.9520806,0.0016,0.0026,0.0053,0.0049,4.506,18.526,3073,4580,13,11
5fa56c61-e8ed-4c0b-95dd-3e15c40d9f78,17100000,chunk_0251,Yield to the stopped truck blocking the lane,Yield due to a worker blocking the lane ahead,0.27298757561721276,0.7529769,0.0003,0.0025,0.0004,0.0133,4.394,17.183,3073,4580,12,10
5fa56c61-e8ed-4c0b-95dd-3e15c40d9f78,18100000,chunk_0251,Stop due to the stopped lead vehicle blocking the lane,Stop due to the stopped lead vehicle blocking the lane.,1.0,0.93259907,0.0002,0.0008,0.0002,0.0028,4.501,17.663,3073,4580,13,11
5fa56c61-e8ed-4c0b-95dd-3e15c40d9f78,19100000,chunk_0251,Yield due to a stopped truck blocking the lane,Yield due to workers blocking the lane ahead,0.30465443840012224,0.76829004,0.0003,0.0003,0.0005,0.0009,4.504,16.513,3073,4580,13,9
e0772c6e-1524-494f-b16f-84ca1a700a7b,5100000,chunk_0251,Yield due to a pedestrian walking in our lane ahead,Slow down due to the work zone speed limit ahead,0.04410894563065191,0.15823817,1.059,0.5856,4.5052,3.2899,4.606,16.81,3073,4580,14,10
e0772c6e-1524-494f-b16f-84ca1a700a7b,6100000,chunk_0251,Slow down to yield to the cut-in vehicle from the right since it is entering our lane ahead,Slow down due to lane narrowing at the construction zone ahead,0.1007744406338056,0.63439083,0.8325,1.3064,4.2556,6.0453,5.519,17.362,3073,4580,22,11
e0772c6e-1524-494f-b16f-84ca1a700a7b,7100000,chunk_0251,Adapt speed for the narrow construction zone since the lane is constricted ahead,Slow down due to a lane narrowing from roadwork ahead,0.016852616523145743,0.57445824,2.405,1.9205,8.3201,6.9439,5.07,17.389,3073,4580,18,11
e0772c6e-1524-494f-b16f-84ca1a700a7b,8100000,chunk_0251,Nudge to the left to clear the stopped vehicle blocking the right side of our lane,Slow down due to lane narrowing from road construction ahead,0.017876513387770236,0.4223924,3.935,2.8416,10.4562,8.0694,5.318,16.876,3073,4580,20,10
e0772c6e-1524-494f-b16f-84ca1a700a7b,9100000,chunk_0251,Adapt speed for the right curve since the lane is narrowed by construction barriers ahead,Adapt speed for the narrow construction lane because roadside barriers restrict clearance.,0.29263733488737864,0.80132776,2.5436,3.1324,6.6157,8.2802,5.237,18.782,3073,4580,19,14
e0772c6e-1524-494f-b16f-84ca1a700a7b,10100000,chunk_0251,Reduce speed due to construction narrowing our lane,Keep at the center of the lane to continue driving.,0.01587743651735362,0.49381456,2.4245,0.7807,8.2976,3.1383,4.271,17.43,3073,4580,11,11
e0772c6e-1524-494f-b16f-84ca1a700a7b,11100000,chunk_0251,Keep lane since the lane is narrowed by construction barriers during this period,Slow down due to speed bumps ahead,0.0,0.18300024,0.3819,2.6295,0.3952,8.0187,4.843,15.149,3073,4580,16,7
e0772c6e-1524-494f-b16f-84ca1a700a7b,12100000,chunk_0251,Nudge left due to the construction barrier blocking the right side of our lane,Nudge left to avoid the construction barrier on the right side,0.5406011907865099,0.8246361,1.0531,1.1691,3.2505,3.4253,5.069,16.66,3073,4580,18,12
