frame_idx,cam_stamp,in_32_tok,in_64_tok,scene_a,scene_b,scene_match,duration_a,duration_b,cot_a,cot_b
1,1545235952.935000,True,True,other,other,True,2.373,2.386,Keep lane since the lane is clear ahead,Keep lane since the lane is clear ahead
2,1545235953.934000,True,True,intersection,intersection,True,1.857,1.891,Stop for the stop sign across the intersection,Stop for the stop sign across the intersection
3,1545235954.933000,True,True,unknown,other,False,4.081,7.277,,"Change lane to the left due to a slow/stopped box truck blocking the right side of our lane; after projecting, move left"
4,1545235955.932000,True,False,intersection,,False,2.274,,Turn left at the intersection since there is no oncoming traffic,
5,1545235956.931000,True,True,unknown,intersection,False,4.071,2.201,,Turn right at the intersection since there is no cross traffic
6,1545235957.930000,True,True,intersection,unknown,False,3.176,5.966,Turn right at the intersection since the current road ends ahead and two way traffic is smaller on that road,
7,1545235958.929000,True,False,urban,,False,2.855,,Keep distance to the pedestrian ahead since they are walking in our path after the right turn,
8,1545235959.928000,True,True,urban,urban,True,2.434,2.202,Yield to the pedestrian since they are walking in our lane ahead,Keep distance to the pedestrian since unexpected pedestrian movement occurs ahead
9,1545235960.927000,True,True,unknown,urban,False,4.139,2.413,,Keep distance to the pedestrian since they are walking ahead in our lane
10,1545235961.926000,True,True,urban,urban,True,2.077,2.415,Slow down due to a pedestrian ahead in our lane,Yield due to a pedestrian blocking the lane ahead requiring speed reduction
11,1545235962.926000,True,True,urban,urban,True,2.833,2.201,Yield to the pedestrian crossing the lane since they are directly blocking ahead of our vehicle,Yield due to a pedestrian walking ahead in our lane
12,1545235963.925000,True,True,other,other,True,2.499,1.879,Keep distance to the cut-in vehicle since it merges into our lane ahead,Keep lane because the lane is clear ahead
13,1545235964.923000,True,True,other,other,True,2.510,2.517,Keep distance to the lead vehicle since it is directly ahead in our lane,Keep distance to the lead vehicle since it is directly ahead in our lane
14,1545235965.923000,True,True,other,other,True,1.766,2.522,Slow down for the speed bump ahead,Stop for the stop sign since it requires a full stop before proceeding ahead
15,1545235966.922000,True,True,other,other,True,1.869,1.770,Slow down due to an upcoming speed bump,Slow down for the speed bump ahead
16,1545235967.921000,True,True,other,other,True,2.402,1.876,Keep at the center of the lane since the lane is clear ahead,Keep lane since the lane is clear ahead
17,1545235968.920000,True,True,other,other,True,1.866,1.869,Keep lane since the lane is clear ahead,Keep lane since the lane is clear ahead
18,1545235969.919000,True,True,other,other,True,2.417,2.412,Keep distance to the parked vehicle since it is adjacent to our lane,Adapt speed for the right curve since the lane bends right ahead
19,1545235970.918000,True,True,other,intersection,False,2.747,2.523,Keep at the center of the lane to continue driving since the lane is clear ahead,Turn right to navigate around the center island blocking the center of our lane
20,1545235971.917000,True,True,unknown,other,False,4.152,2.512,,Keep distance to the lead vehicle since it is stopped ahead blocking our path
21,1545235972.917000,True,True,other,other,True,2.303,2.839,Keep at the center of the aisle since no agent requires attention,Yield to the cut-in vehicle from the right since it is entering our lane ahead
22,1545235973.915000,True,True,other,other,True,2.580,2.513,Nudge to the right because an oncoming vehicle is in close proximity ahead,Keep distance to the lead vehicle since it is turning into our path ahead
23,1545235974.915000,True,True,other,other,True,2.158,2.415,Keep distance to the lead vehicle since it is stopped ahead,Adapt speed for any right curve since the lane bends right ahead
24,1545235975.914000,True,True,other,other,True,2.368,2.414,Keep at the center of the lane since the lane is clear ahead,Keep lane since no lead vehicle or control device is in our path
25,1545235976.912000,True,True,unknown,intersection,False,4.083,2.313,,Turn left to navigate around the parked vehicles blocking the forward path
26,1545235977.912000,True,True,unknown,intersection,False,2.480,2.419,,Turn right to follow the parking aisle since the roadway bends right ahead
27,1545235978.911000,True,True,unknown,other,False,4.069,2.422,,Adapt speed for the right curve since the lane bends right ahead
28,1545235979.910000,True,True,other,unknown,False,2.494,6.199,Keep distance to the lead vehicle since it is stopped ahead in our lane,
29,1545235980.909000,True,False,intersection,,False,2.498,,Turn right to follow the parking lot aisle since the lane curves right ahead,
30,1545235981.908000,True,True,unknown,other,False,4.129,2.743,,Adapt speed for the right curve since the lane bends around a median island ahead
