ros_time,scene,prefill_tokens,generated_tokens,duration_sec,cam_stamp,cot
1785297600.025807349,other,828,11,2.373,1545235952.935,"Keep lane since the lane is clear ahead"
1785297604.510267577,intersection,828,11,1.857,1545235953.934,"Stop for the stop sign across the intersection"
1785297611.733676887,unknown,828,32,4.081,1545235954.933,""
1785297614.926611331,intersection,828,15,2.274,1545235955.932,"Turn left at the intersection since there is no oncoming traffic"
1785297621.724209337,unknown,828,32,4.071,1545235956.931,""
1785297625.829841199,intersection,828,23,3.176,1545235957.930,"Turn right at the intersection since the current road ends ahead and two way traffic is smaller on that road"
1785297630.507886583,urban,828,20,2.855,1545235958.929,"Keep distance to the pedestrian ahead since they are walking in our path after the right turn"
1785297635.086760238,urban,828,16,2.434,1545235959.928,"Yield to the pedestrian since they are walking in our lane ahead"
1785297641.792425036,unknown,828,32,4.139,1545235960.927,""
1785297644.729431845,urban,828,13,2.077,1545235961.926,"Slow down due to a pedestrian ahead in our lane"
1785297650.486000802,urban,828,20,2.833,1545235962.926,"Yield to the pedestrian crossing the lane since they are directly blocking ahead of our vehicle"
1785297655.151918154,other,828,17,2.499,1545235963.925,"Keep distance to the cut-in vehicle since it merges into our lane ahead"
1785297660.163640947,other,828,17,2.510,1545235964.923,"Keep distance to the lead vehicle since it is directly ahead in our lane"
1785297664.419033408,other,828,10,1.766,1545235965.923,"Slow down for the speed bump ahead"
1785297669.521702614,other,828,11,1.869,1545235966.922,"Slow down due to an upcoming speed bump"
1785297675.055529380,other,828,16,2.402,1545235967.921,"Keep at the center of the lane since the lane is clear ahead"
1785297679.519487297,other,828,11,1.866,1545235968.920,"Keep lane since the lane is clear ahead"
1785297685.069779997,other,828,16,2.417,1545235969.919,"Keep distance to the parked vehicle since it is adjacent to our lane"
1785297690.399908668,other,828,19,2.747,1545235970.918,"Keep at the center of the lane to continue driving since the lane is clear ahead"
1785297696.805371371,unknown,828,32,4.152,1545235971.917,""
1785297699.955817848,other,828,15,2.303,1545235972.917,"Keep at the center of the aisle since no agent requires attention"
1785297705.232556321,other,828,18,2.580,1545235973.915,"Nudge to the right because an oncoming vehicle is in close proximity ahead"
1785297709.810475732,other,828,14,2.158,1545235974.915,"Keep distance to the lead vehicle since it is stopped ahead"
1785297715.020940551,other,828,16,2.368,1545235975.914,"Keep at the center of the lane since the lane is clear ahead"
1785297721.735745503,unknown,828,32,4.083,1545235976.912,""
1785297725.132844241,unknown,828,17,2.480,1545235977.912,""
1785297731.721838092,unknown,828,32,4.069,1545235978.911,""
1785297735.147428381,other,828,17,2.494,1545235979.910,"Keep distance to the lead vehicle since it is stopped ahead in our lane"
1785297740.150972707,intersection,828,17,2.498,1545235980.909,"Turn right to follow the parking lot aisle since the lane curves right ahead"
1785297746.782291794,unknown,828,32,4.129,1545235981.908,""
1785297750.264435303,parking,828,18,2.612,1545235982.907,"Adapt speed for the right curve since the parking lot aisle bends right ahead"
1785297755.129102110,other,828,17,2.476,1545235983.906,"Adapt speed for the right curve since the parking aisle bends right ahead"
1785297761.728500759,unknown,828,32,4.076,1545235984.905,""
1785297764.942470986,intersection,828,15,2.290,1545235985.904,"Turn left to exit the parking lot since the path is clear"
1785297770.446706026,other,828,20,2.794,1545235986.904,"Yield to the cut-in vehicle from the right since it is entering our lane ahead"
1785297774.916801309,other,828,15,2.264,1545235987.903,"Keep lane since the aisle is clear with no critical conclusion ahead"
1785297780.031098522,other,828,16,2.378,1545235988.901,"Keep lane since the lane is clear and no lead vehicle is present"
1785297786.732711374,unknown,828,32,4.080,1545235989.901,""
1785297790.066347401,intersection,828,16,2.414,1545235990.900,"Turn right to enter a parking spot since no critical agent needs attention"
1785297794.863821768,urban,828,14,2.211,1545235991.899,"Yield due to a pedestrian walking into our path ahead"
1785297799.429966532,other,828,10,1.777,1545235992.898,"Keep lane since the path is clear"
1785297805.068715800,other,828,16,2.416,1545235993.997,"Keep at the center of the lane since no critical agent affects driving"
1785297809.964084195,other,828,15,2.311,1545235994.896,"Keep at the center of the lane since the path is clear"
1785297815.285420751,other,828,18,2.632,1545235995.995,"Slow down to maintain a safe distance from the stopped vehicle blocking the lane ahead"
1785297820.181769445,other,828,17,2.529,1545235996.994,"Nudge to the right to clear the stopped vehicle blocking the lane ahead"
1785297826.796508185,unknown,828,32,4.143,1545235997.993,""
1785297830.074535457,intersection,828,16,2.421,1545235998.992,"Turn left at the intersection since the way is clear of cross traffic"
1785297835.192679957,other,828,17,2.539,1545235999.991,"Keep distance to the lead vehicle since it is directly ahead in our path"
1785297840.299066981,other,828,18,2.646,1545236000.991,"Nudge to the left to clear the stopped lead vehicle blocking the path ahead"
1785297845.517919680,other,828,20,2.865,1545236001.989,"Stop to yield to the cross-traffic since a vehicle is crossing ahead of our path"
1785297850.092933512,urban,828,16,2.440,1545236002.989,"Proceed slowly due to a pedestrian geometry without a clear crosswalk line"
1785297854.300978169,other,828,9,1.648,1545236003.988,"Stop for the stop sign ahead"
1785297859.618457060,other,828,12,1.965,1545236004.987,"Keep lane since no critical agent affects the path"
1785297865.043089158,other,828,16,2.390,1545236005.986,"Keep lane since the lane is clear and no immediate hazards are present"
1785297869.526284285,other,828,11,1.873,1545236006.985,"Keep lane since the path is clear ahead"
1785297874.400250872,other,828,10,1.747,1545236007.984,"Keep lane since the lane is clear"
1785297880.242258026,intersection,828,18,2.589,1545236008.983,"Turn left at our intersection since there is a stop sign ahead controlling our approach"
1785297884.498185644,other,828,11,1.845,1545236009.982,"Slow down for the stop sign ahead."
1785297890.358755068,urban,828,19,2.706,1545236010.981,"Keep distance to the pedestrians since they are walking at the edge of the lane ahead"
1785297895.358156964,urban,828,19,2.705,1545236011.980,"Yield by slowing down due to a pedestrian walking along the edge of our path"
1785297899.817322953,urban,828,14,2.164,1545236012.980,"Yield due to a pedestrian walking in the crosswalk"
1785297904.494366970,intersection,828,11,1.841,1545236013.979,"Stop for the stop sign controlling the intersection"
1785297910.169347472,intersection,828,17,2.516,1545236014.977,"Stop for the stop sign ahead since it controls our approach to the intersection"
1785297914.395681964,intersection,828,10,1.743,1545236015.977,"Turn left because the intersection is clear"
1785297920.461323329,unknown,828,20,2.808,1545236016.976,""
1785297925.131344982,other,828,17,2.478,1545236017.975,"Keep distance to the lead vehicle since it is stopped ahead in our lane"
1785297929.504404128,unknown,828,11,1.852,1545236018.974,""
1785297934.513100015,other,828,11,1.860,1545236019.973,"Stop for the stop sign controlling our lane"
1785297939.929993652,unknown,828,15,2.277,1545236020.972,""
1785297944.404137754,other,828,10,1.751,1545236021.971,"Stop due to the stop sign ahead"
1785297950.458823773,other,828,20,2.806,1545236022.970,"Keep distance to the cut-in vehicle since it merges into our lane ahead during this interval"
1785297954.715411569,other,828,13,2.063,1545236023.969,"Keep lane since the lane is clear without obstacles ahead"
1785297960.134417984,parking,828,17,2.481,1545236024.969,"Slow down for the right curve since the parking lot entrance bends right ahead"
1785297964.394480519,other,828,10,1.742,1545236025.967,"Slow down for the speed bump ahead"
1785297970.133061751,other,828,17,2.480,1545236026.966,"Nudge to the left to clear the small object in our lane ahead"
1785297975.138706783,other,828,17,2.486,1545236027.966,"Nudge to the right since the stopped car blocking the lane is cleared"
1785297979.496442014,other,828,11,1.844,1545236028.965,"Keep lane since the lane is clear ahead"
1785297986.727577214,unknown,828,32,4.075,1545236029.964,""
1785297990.723070324,intersection,828,22,3.070,1545236030.963,"Turn left to navigate into a parking space since the path is clear and no lead vehicle is present"
1785297996.808775999,unknown,828,32,4.156,1545236031.962,""
1785297999.528910593,other,828,11,1.876,1545236032.961,"Keep lane since the road is clear ahead"
1785298005.618696467,other,828,21,2.966,1545236033.960,"Keep distance to the vehicle pulling out into our lane since it indicates our intention to merge ahead"
1785298010.130725559,other,828,17,2.478,1545236034.959,"Keep distance to the lead vehicle since it is directly ahead in our lane"
1785298014.819177854,unknown,828,14,2.167,1545236035.958,""
1785298020.553309068,other,828,21,2.901,1545236036.958,"Nudge to the left to clear the vehicle protruding from the right side of our lane"
1785298026.738201017,unknown,828,32,4.085,1545236037.956,""
1785298030.066410057,urban,828,16,2.413,1545236038.956,"Keep distance to the pedestrian ahead since they are walking along our lane"
1785298036.818804327,unknown,828,32,4.166,1545236039.955,""
1785298040.180369241,other,828,17,2.528,1545236040.954,"Keep distance to the lead vehicle since it is directly ahead in our lane"
1785298046.256600847,urban,828,27,3.604,1545236041.953,"Stop to yield to the pedestrians walking across the driveway//w BorderLayout directly ahead in our path, blocking our fo"
