clip_id,t0_us,scene,prefill_tokens,generated_tokens,duration_sec,cot
40a11a64-aed4-49c1-b747-b3befdcd708d,5100000,other,3073,11,5.250,Adjust speed due to the lead vehicle ahead
40a11a64-aed4-49c1-b747-b3befdcd708d,6100000,intersection,3073,15,4.272,Stop to yield to the pedestrians walking across the crosswalk ahead
40a11a64-aed4-49c1-b747-b3befdcd708d,7100000,intersection,3073,20,4.857,Stop to yield to the pedestrians in the crosswalk ahead since they are entering our lane
40a11a64-aed4-49c1-b747-b3befdcd708d,8100000,intersection,3073,16,4.318,Stop to yield to the pedestrian crossing ahead since the crossing is occupied
40a11a64-aed4-49c1-b747-b3befdcd708d,9100000,intersection,3073,13,4.075,Yield because of a pedestrian in the crosswalk
40a11a64-aed4-49c1-b747-b3befdcd708d,10100000,intersection,3073,11,3.795,Yield due to pedestrians crossing the street
40a11a64-aed4-49c1-b747-b3befdcd708d,11100000,intersection,3073,12,3.857,Yield due to pedestrians in the crosswalk
40a11a64-aed4-49c1-b747-b3befdcd708d,12100000,intersection,3073,12,3.945,Stop for going straight since pedestrians are crossing ahead
40a11a64-aed4-49c1-b747-b3befdcd708d,13100000,intersection,3073,11,3.845,Stop to yield to the pedestrian crossing ahead
40a11a64-aed4-49c1-b747-b3befdcd708d,14100000,intersection,3073,16,4.306,Yield to the pedestrians since they are walking across the lane ahead
40a11a64-aed4-49c1-b747-b3befdcd708d,15100000,intersection,3073,17,4.513,Stop to yield to the pedestrian crossing ahead since they are blocking our lane
40a11a64-aed4-49c1-b747-b3befdcd708d,16100000,straight,3073,17,4.420,Keep distance to the lead vehicle since it is directly ahead in our lane
40a11a64-aed4-49c1-b747-b3befdcd708d,17100000,other,3073,14,4.174,Keep distance to the lead vehicle since it is directly ahead
40a11a64-aed4-49c1-b747-b3befdcd708d,18100000,straight,3073,17,4.530,Nudge left due to the van blocking the right side of our lane
40a11a64-aed4-49c1-b747-b3befdcd708d,19100000,other,3073,14,4.177,Keep distance to the lead vehicle since it is slowing ahead
1de484ec-e29f-41ca-b4e8-4c91e0a1d66c,5100000,intersection,3073,17,4.506,Yield due to oncoming anticipation of a left turn across our lane
1de484ec-e29f-41ca-b4e8-4c91e0a1d66c,6100000,intersection,3073,10,3.625,Yield since pedestrians are crossing ahead
1de484ec-e29f-41ca-b4e8-4c91e0a1d66c,7100000,straight,3073,16,4.313,Stop to keep distance to the stopped lead vehicle ahead blocking our lane
1de484ec-e29f-41ca-b4e8-4c91e0a1d66c,8100000,urban,3073,14,4.183,Stop to yield to the pedestrian walking into our lane ahead
1de484ec-e29f-41ca-b4e8-4c91e0a1d66c,9100000,urban,3073,12,3.950,Yield to the pedestrian exiting the vehicle ahead
1de484ec-e29f-41ca-b4e8-4c91e0a1d66c,10100000,straight,3073,13,3.985,Yield to the stopped lead vehicle blocking the lane
1de484ec-e29f-41ca-b4e8-4c91e0a1d66c,11100000,urban,3073,14,4.056,Stop due to pedestrian at the edge of our lane ahead
1de484ec-e29f-41ca-b4e8-4c91e0a1d66c,12100000,other,3073,14,4.066,Keep distance to the lead vehicle since it is stopped ahead
1de484ec-e29f-41ca-b4e8-4c91e0a1d66c,13100000,intersection,3073,21,4.956,Yield to the pedestrian walking across the crosswalk ahead since it is directly in our path
1de484ec-e29f-41ca-b4e8-4c91e0a1d66c,14100000,intersection,3073,20,4.819,Yield to the pedestrian walking across the crosswalk ahead since they are entering our lane
1de484ec-e29f-41ca-b4e8-4c91e0a1d66c,15100000,intersection,3073,17,4.413,Keep distance to the lead vehicle since it is stopped ahead at the intersection
1de484ec-e29f-41ca-b4e8-4c91e0a1d66c,16100000,intersection,3073,15,4.178,Yield due to the pedestrian walking across the crosswalk ahead
1de484ec-e29f-41ca-b4e8-4c91e0a1d66c,17100000,intersection,3073,19,4.629,Yield to the pedestrian in the crosswalk ahead since they are crossing our path
1de484ec-e29f-41ca-b4e8-4c91e0a1d66c,18100000,straight,3073,22,4.954,Going directly ahead is a right turn since our lane is right-turn only and we must turn right
1de484ec-e29f-41ca-b4e8-4c91e0a1d66c,19100000,unknown,3073,63,9.597,
13f0af4c-2565-4a4d-b765-7f397f1d1684,5100000,intersection,3073,14,4.182,Yield due to pedestrians walking across the crosswalk ahead
13f0af4c-2565-4a4d-b765-7f397f1d1684,6100000,intersection,3073,15,4.286,Yield due to a pedestrian walking across the crosswalk ahead
13f0af4c-2565-4a4d-b765-7f397f1d1684,7100000,intersection,3073,15,4.279,Yield due to a pedestrian walking across a crosswalk ahead
13f0af4c-2565-4a4d-b765-7f397f1d1684,8100000,intersection,3073,18,4.601,伶 to yield to the crossing pedestrian since they are walking across our lane ahead
13f0af4c-2565-4a4d-b765-7f397f1d1684,9100000,intersection,3073,13,3.984,Yield to the pedestrian walking across our lane ahead
13f0af4c-2565-4a4d-b765-7f397f1d1684,10100000,intersection,3073,16,4.297,Keep speed through the intersection since the straight traffic light is green.
13f0af4c-2565-4a4d-b765-7f397f1d1684,11100000,intersection,3073,14,4.142,Keep speed through the intersection since the traffic light is green
13f0af4c-2565-4a4d-b765-7f397f1d1684,12100000,intersection,3073,14,4.150,Keep speed through the intersection since the traffic light is green
13f0af4c-2565-4a4d-b765-7f397f1d1684,13100000,intersection,3073,15,4.282,Yield due to a pedestrian walking across the crosswalk ahead
13f0af4c-2565-4a4d-b765-7f397f1d1684,14100000,intersection,3073,17,4.393,Yield due to a pedestrian walking across the crosswalk requiring speed labor
13f0af4c-2565-4a4d-b765-7f397f1d1684,15100000,intersection,3073,15,4.176,Yield by slowing due to a pedestrian in the crosswalk
13f0af4c-2565-4a4d-b765-7f397f1d1684,16100000,intersection,3073,18,4.562,Slow down and nudge left due to a pedestrian walking across our lane ahead
