clip_id,t0_us,scene,prefill_tokens,generated_tokens,duration_sec,cot
5fa56c61-e8ed-4c0b-95dd-3e15c40d9f78,5100000,straight,3073,12,5.139,Slow down due to workers blocking the lane ahead
5fa56c61-e8ed-4c0b-95dd-3e15c40d9f78,6100000,straight,3073,14,4.177,Slow down due to the stopped lead vehicle blocking the lane
5fa56c61-e8ed-4c0b-95dd-3e15c40d9f78,7100000,straight,3073,15,4.301,Slow to a stop due to the lead vehicle blocking the lane
5fa56c61-e8ed-4c0b-95dd-3e15c40d9f78,8100000,straight,3073,14,4.183,Slow down due to the stopped truck blocking the lane ahead
5fa56c61-e8ed-4c0b-95dd-3e15c40d9f78,9100000,straight,3073,14,4.129,Slow down due to the stopped lead vehicle blocking the lane
5fa56c61-e8ed-4c0b-95dd-3e15c40d9f78,10100000,straight,3073,12,3.863,Stop due to the lead vehicle blocking the lane
5fa56c61-e8ed-4c0b-95dd-3e15c40d9f78,11100000,straight,3073,13,4.056,Yield to the worker standing in our lane ahead
5fa56c61-e8ed-4c0b-95dd-3e15c40d9f78,12100000,straight,3073,13,3.974,Yield to the stopped lead vehicle blocking the lane
5fa56c61-e8ed-4c0b-95dd-3e15c40d9f78,13100000,straight,3073,13,4.054,Stop due to the stopped lead truck blocking the lane
5fa56c61-e8ed-4c0b-95dd-3e15c40d9f78,14100000,straight,3073,13,4.063,Yield to the stopped lead vehicle blocking the lane
5fa56c61-e8ed-4c0b-95dd-3e15c40d9f78,15100000,straight,3073,12,3.947,Yield due to workers blocking the lane ahead
5fa56c61-e8ed-4c0b-95dd-3e15c40d9f78,16100000,straight,3073,14,4.071,Stop to keep distance to the lead vehicle blocking the lane
5fa56c61-e8ed-4c0b-95dd-3e15c40d9f78,17100000,straight,3073,12,3.856,Stop due to the lead vehicle blocking the lane
5fa56c61-e8ed-4c0b-95dd-3e15c40d9f78,18100000,straight,3073,14,4.173,Yield due to the stopped lead vehicle blocking the lane
5fa56c61-e8ed-4c0b-95dd-3e15c40d9f78,19100000,straight,3073,13,3.983,Stop due to the lead vehicle blocking the lane ahead
e0772c6e-1524-494f-b16f-84ca1a700a7b,5100000,straight,3073,12,3.873,Slow down due to a narrowed construction lane ahead
e0772c6e-1524-494f-b16f-84ca1a700a7b,6100000,urban,3073,17,4.515,Nudge to the right to clear the pedestrian walking ahead in our lane
e0772c6e-1524-494f-b16f-84ca1a700a7b,7100000,other,3073,19,4.736,Adapt speed for the narrow construction zone ahead since immediate obstacles constrict our path
e0772c6e-1524-494f-b16f-84ca1a700a7b,8100000,unknown,3073,3,2.851,
e0772c6e-1524-494f-b16f-84ca1a700a7b,9100000,straight,3073,18,4.56,Nudge to the left to clear the right-side construction barrier blocking the lane
e0772c6e-1524-494f-b16f-84ca1a700a7b,10100000,straight,3073,11,3.841,Keep lane since the lane is clear ahead
